datetime,BNB/USD:Binance,ADA/USD:Binance
2025-01-01 00:00:00,704.81,0.8533
2025-01-01 00:15:00,705.99,0.8565
2025-01-01 00:30:00,705.5,0.8574
2025-01-01 00:45:00,705.58,0.8561
2025-01-01 01:00:00,705.4,0.8553
2025-01-01 01:15:00,706.4,0.8571
2025-01-01 01:30:00,705.85,0.8552
2025-01-01 01:45:00,706.59,0.8574
2025-01-01 02:00:00,705.12,0.8583
2025-01-01 02:15:00,704.24,0.858
2025-01-01 02:30:00,703.83,0.8551
2025-01-01 02:45:00,703.75,0.8518
2025-01-01 03:00:00,703.95,0.8531
2025-01-01 03:15:00,702.93,0.85
2025-01-01 03:30:00,703.58,0.8492
2025-01-01 03:45:00,703.06,0.8467
2025-01-01 04:00:00,703.36,0.8456
2025-01-01 04:15:00,701.79,0.8424
2025-01-01 04:30:00,701.48,0.8426
2025-01-01 04:45:00,703.73,0.8462
2025-01-01 05:00:00,703.4,0.8466
2025-01-01 05:15:00,705.36,0.8455
2025-01-01 05:30:00,706.82,0.8467
2025-01-01 05:45:00,707.23,0.8441
2025-01-01 06:00:00,708.09,0.8439
2025-01-01 06:15:00,708.75,0.8498
2025-01-01 06:30:00,708.62,0.8538
2025-01-01 06:45:00,707.57,0.8532
2025-01-01 07:00:00,706.6,0.8553
2025-01-01 07:15:00,706.9,0.8613
2025-01-01 07:30:00,707.05,0.8638
2025-01-01 07:45:00,706.29,0.8657
2025-01-01 08:00:00,706.76,0.8671
2025-01-01 08:15:00,709.43,0.8644
2025-01-01 08:30:00,709.03,0.8633
2025-01-01 08:45:00,710.22,0.8649
2025-01-01 09:00:00,708.82,0.8671
2025-01-01 09:15:00,707.26,0.8635
2025-01-01 09:30:00,707.3,0.862
2025-01-01 09:45:00,708.02,0.8648
2025-01-01 10:00:00,707.36,0.8629
2025-01-01 10:15:00,707.11,0.8662
2025-01-01 10:30:00,707.2,0.8701
2025-01-01 10:45:00,708.11,0.877
2025-01-01 11:00:00,706.56,0.8893
2025-01-01 11:15:00,705.5,0.8909
2025-01-01 11:30:00,704.58,0.8803
2025-01-01 11:45:00,704.99,0.8893
2025-01-01 12:00:00,703.7,0.881
2025-01-01 12:15:00,705.3,0.8818
