datetime,XRP/USD:Binance,ADA/USD:Binance
2025-01-01 00:00:00,2.1229,0.8533
2025-01-01 00:15:00,2.1283,0.8565
2025-01-01 00:30:00,2.1429,0.8574
2025-01-01 00:45:00,2.1358,0.8561
2025-01-01 01:00:00,2.1356,0.8553
2025-01-01 01:15:00,2.1442,0.8571
2025-01-01 01:30:00,2.1366,0.8552
2025-01-01 01:45:00,2.1439,0.8574
2025-01-01 02:00:00,2.1327,0.8583
2025-01-01 02:15:00,2.1387,0.858
2025-01-01 02:30:00,2.1334,0.8551
2025-01-01 02:45:00,2.1246,0.8518
2025-01-01 03:00:00,2.1319,0.8531
2025-01-01 03:15:00,2.1206,0.85
2025-01-01 03:30:00,2.1173,0.8492
2025-01-01 03:45:00,2.1103,0.8467
2025-01-01 04:00:00,2.1073,0.8456
2025-01-01 04:15:00,2.0966,0.8424
2025-01-01 04:30:00,2.0977,0.8426
2025-01-01 04:45:00,2.1052,0.8462
2025-01-01 05:00:00,2.1081,0.8466
2025-01-01 05:15:00,2.1099,0.8455
2025-01-01 05:30:00,2.1123,0.8467
2025-01-01 05:45:00,2.109,0.8441
2025-01-01 06:00:00,2.1123,0.8439
2025-01-01 06:15:00,2.1312,0.8498
2025-01-01 06:30:00,2.1392,0.8538
2025-01-01 06:45:00,2.1357,0.8532
2025-01-01 07:00:00,2.1397,0.8553
2025-01-01 07:15:00,2.1604,0.8613
2025-01-01 07:30:00,2.1595,0.8638
2025-01-01 07:45:00,2.1679,0.8657
2025-01-01 08:00:00,2.176,0.8671
2025-01-01 08:15:00,2.17,0.8644
2025-01-01 08:30:00,2.1617,0.8633
2025-01-01 08:45:00,2.1653,0.8649
2025-01-01 09:00:00,2.1806,0.8671
2025-01-01 09:15:00,2.1712,0.8635
2025-01-01 09:30:00,2.1677,0.862
2025-01-01 09:45:00,2.174,0.8648
2025-01-01 10:00:00,2.1662,0.8629
2025-01-01 10:15:00,2.1799,0.8662
2025-01-01 10:30:00,2.1979,0.8701
2025-01-01 10:45:00,2.2283,0.877
2025-01-01 11:00:00,2.2628,0.8893
2025-01-01 11:15:00,2.2835,0.8909
2025-01-01 11:30:00,2.2535,0.8803
2025-01-01 11:45:00,2.2635,0.8893
2025-01-01 12:00:00,2.227,0.881
2025-01-01 12:15:00,2.2308,0.8818
2025-01-01 12:30:00,2.2497,0.8868
2025-01-01 12:45:00,2.2596,0.8887
2025-01-01 13:00:00,2.2588,0.8851
2025-01-01 13:15:00,2.2754,0.8926
2025-01-01 13:30:00,2.3083,0.906
2025-01-01 13:45:00,2.322,0.9218
2025-01-01 14:00:00,2.3254,0.9269
2025-01-01 14:15:00,2.3019,0.9137
2025-01-01 14:30:00,2.3121,0.9167
2025-01-01 14:45:00,2.3172,0.9172
2025-01-01 15:00:00,2.3119,0.9236
2025-01-01 15:15:00,2.3108,0.9292
2025-01-01 15:30:00,2.3012,0.9227
2025-01-01 15:45:00,2.3068,0.9205
2025-01-01 16:00:00,2.3057,0.9206
2025-01-01 16:15:00,2.3136,0.9209
2025-01-01 16:30:00,2.3179,0.9173
2025-01-01 16:45:00,2.3207,0.919
2025-01-01 17:00:00,2.3016,0.9165
2025-01-01 17:15:00,2.3119,0.9148
2025-01-01 17:30:00,2.3316,0.921
2025-01-01 17:45:00,2.3493,0.9213
2025-01-01 18:00:00,2.3378,0.9193
2025-01-01 18:15:00,2.3354,0.9167
2025-01-01 18:30:00,2.3205,0.9156
2025-01-01 18:45:00,2.3328,0.9222
2025-01-01 19:00:00,2.3895,0.9342
2025-01-01 19:15:00,2.4438,0.9482
2025-01-01 19:30:00,2.4313,0.9522
2025-01-01 19:45:00,2.3887,0.9456
2025-01-01 20:00:00,2.3947,0.9486
2025-01-01 20:15:00,2.4004,0.9518
2025-01-01 20:30:00,2.4008,0.9551
2025-01-01 20:45:00,2.4008,0.9466
2025-01-01 21:00:00,2.3982,0.9423
2025-01-01 21:15:00,2.4058,0.9429
2025-01-01 21:30:00,2.4005,0.9406
2025-01-01 21:45:00,2.4054,0.9419
2025-01-01 22:00:00,2.4007,0.9398
2025-01-01 22:15:00,2.4125,0.9429
2025-01-01 22:30:00,2.4159,0.9423
2025-01-01 22:45:00,2.4249,0.9421
2025-01-01 23:00:00,2.415,0.9403
2025-01-01 23:15:00,2.4132,0.936
2025-01-01 23:30:00,2.4132,0.945
2025-01-01 23:45:00,2.4001,0.9447
2025-01-02 00:00:00,2.3907,0.9405
2025-01-02 00:15:00,2.3939,0.9375
2025-01-02 00:30:00,2.3926,0.9386
2025-01-02 00:45:00,2.3725,0.9327
2025-01-02 01:00:00,2.37,0.9299
2025-01-02 01:15:00,2.3479,0.9257
2025-01-02 01:30:00,2.3593,0.9282
2025-01-02 01:45:00,2.3545,0.9273
2025-01-02 02:00:00,2.359,0.9304
2025-01-02 02:15:00,2.3508,0.9306
2025-01-02 02:30:00,2.3625,0.9334
2025-01-02 02:45:00,2.3672,0.9335
2025-01-02 03:00:00,2.3773,0.9345
2025-01-02 03:15:00,2.3825,0.9317
2025-01-02 03:30:00,2.3803,0.9319
2025-01-02 03:45:00,2.3788,0.9361
2025-01-02 04:00:00,2.3989,0.938
2025-01-02 04:15:00,2.4008,0.9441
2025-01-02 04:30:00,2.4094,0.9471
2025-01-02 04:45:00,2.4005,0.949
2025-01-02 05:00:00,2.3931,0.9496
2025-01-02 05:15:00,2.3882,0.9522
2025-01-02 05:30:00,2.3975,0.9617
2025-01-02 05:45:00,2.3952,0.9666
2025-01-02 06:00:00,2.3968,0.9601
2025-01-02 06:15:00,2.4001,0.9617
2025-01-02 06:30:00,2.4094,0.9678
2025-01-02 06:45:00,2.4035,0.9709
2025-01-02 07:00:00,2.403,0.9794
2025-01-02 07:15:00,2.4072,0.9749
2025-01-02 07:30:00,2.4149,0.9708
2025-01-02 07:45:00,2.4071,0.973
2025-01-02 08:00:00,2.4052,0.967
2025-01-02 08:15:00,2.4036,0.9668
2025-01-02 08:30:00,2.4014,0.965
2025-01-02 08:45:00,2.3911,0.9635
2025-01-02 09:00:00,2.3837,0.9586
2025-01-02 09:15:00,2.389,0.9629
2025-01-02 09:30:00,2.4093,0.9642
2025-01-02 09:45:00,2.4076,0.965
2025-01-02 10:00:00,2.4012,0.9607
2025-01-02 10:15:00,2.3904,0.9538
2025-01-02 10:30:00,2.3907,0.9523
2025-01-02 10:45:00,2.4042,0.955
2025-01-02 11:00:00,2.4089,0.9556
2025-01-02 11:15:00,2.4098,0.9636
2025-01-02 11:30:00,2.4093,0.9641
2025-01-02 11:45:00,2.4189,0.9614
2025-01-02 12:00:00,2.432,0.9637
2025-01-02 12:15:00,2.4271,0.9595
2025-01-02 12:30:00,2.3982,0.9498
2025-01-02 12:45:00,2.396,0.9529
2025-01-02 13:00:00,2.3972,0.9546
2025-01-02 13:15:00,2.4034,0.9578
