datetime,BNB/USD,SOL/USD
2025-01-01 00:00:00,704.81,189.67
2025-01-01 00:15:00,705.99,189.94
2025-01-01 00:30:00,705.5,189.94
2025-01-01 00:45:00,705.58,189.69
2025-01-01 01:00:00,705.4,189.21
2025-01-01 01:15:00,706.4,189.55
2025-01-01 01:30:00,705.85,189.74
2025-01-01 01:45:00,706.59,189.88
2025-01-01 02:00:00,705.12,189.49
2025-01-01 02:15:00,704.24,189.5
2025-01-01 02:30:00,703.83,189.81
2025-01-01 02:45:00,703.75,189.67
2025-01-01 03:00:00,703.95,190.21
2025-01-01 03:15:00,702.93,189.44
2025-01-01 03:30:00,703.58,189.55
2025-01-01 03:45:00,703.06,189.02
2025-01-01 04:00:00,703.36,188.56
2025-01-01 04:15:00,701.79,188.11
2025-01-01 04:30:00,701.48,188.11
2025-01-01 04:45:00,703.73,188.77
2025-01-01 05:00:00,703.4,189.32
2025-01-01 05:15:00,705.36,189.82
2025-01-01 05:30:00,706.82,190.31
2025-01-01 05:45:00,707.23,189.85
2025-01-01 06:00:00,708.09,190.13
2025-01-01 06:15:00,708.75,190.83
2025-01-01 06:30:00,708.62,191.28
2025-01-01 06:45:00,707.57,190.97
2025-01-01 07:00:00,706.6,190.41
2025-01-01 07:15:00,706.9,191.01
2025-01-01 07:30:00,707.05,190.82
2025-01-01 07:45:00,706.29,190.55
2025-01-01 08:00:00,706.76,189.85
2025-01-01 08:15:00,709.43,189.3
2025-01-01 08:30:00,709.03,189.58
2025-01-01 08:45:00,710.22,189.84
2025-01-01 09:00:00,708.82,190.55
2025-01-01 09:15:00,707.26,189.56
2025-01-01 09:30:00,707.3,189.75
2025-01-01 09:45:00,708.02,190.47
2025-01-01 10:00:00,707.36,189.79
2025-01-01 10:15:00,707.11,190.12
2025-01-01 10:30:00,707.2,191.1
2025-01-01 10:45:00,708.11,191.46
2025-01-01 11:00:00,706.56,190.77
2025-01-01 11:15:00,705.5,190.66
2025-01-01 11:30:00,704.58,190.14
2025-01-01 11:45:00,704.99,190.12
2025-01-01 12:00:00,703.7,189.24
2025-01-01 12:15:00,705.3,189.4
2025-01-01 12:30:00,705.33,189.64
2025-01-01 12:45:00,705.61,190.15
2025-01-01 13:00:00,704.78,189.92
2025-01-01 13:15:00,704.62,190.3
2025-01-01 13:30:00,705.8,191.4
2025-01-01 13:45:00,706.02,191.21
2025-01-01 14:00:00,706.33,192.01
2025-01-01 14:15:00,706.6,191.91
2025-01-01 14:30:00,706.5,192.11
2025-01-01 14:45:00,707.85,192.7
2025-01-01 15:00:00,708.61,193.32
2025-01-01 15:15:00,708.14,193.4
2025-01-01 15:30:00,708.16,193.81
2025-01-01 15:45:00,708.22,193.92
2025-01-01 16:00:00,707.89,193.74
2025-01-01 16:15:00,707.83,194.64
2025-01-01 16:30:00,707.15,193.89
2025-01-01 16:45:00,707.96,194.24
2025-01-01 17:00:00,708.49,193.54
2025-01-01 17:15:00,707.49,193.7
2025-01-01 17:30:00,707.37,194.39
2025-01-01 17:45:00,707.58,194.03
2025-01-01 18:00:00,708.39,194.18
2025-01-01 18:15:00,707.36,193.81
2025-01-01 18:30:00,708.18,193.77
2025-01-01 18:45:00,707.84,193.84
2025-01-01 19:00:00,705.68,193.56
2025-01-01 19:15:00,701.7,194.78
2025-01-01 19:30:00,703.57,195.89
2025-01-01 19:45:00,702.09,195.82
2025-01-01 20:00:00,702.47,197.42
2025-01-01 20:15:00,702.56,196.63
2025-01-01 20:30:00,702.76,197.17
2025-01-01 20:45:00,701.53,197.33
2025-01-01 21:00:00,701.52,197.74
2025-01-01 21:15:00,700.68,198.3
2025-01-01 21:30:00,699.7,198.37
2025-01-01 21:45:00,702.11,199.0
2025-01-01 22:00:00,702.1,198.04
2025-01-01 22:15:00,703.46,198.28
2025-01-01 22:30:00,702.89,197.54
2025-01-01 22:45:00,702.17,198.16
2025-01-01 23:00:00,702.12,199.5
2025-01-01 23:15:00,702.21,199.74
2025-01-01 23:30:00,706.64,203.81
2025-01-01 23:45:00,707.5,204.09
2025-01-02 00:00:00,707.16,203.36
