datetime,SOL/USD,ADA/USD
2025-01-01 00:00:00,189.2,0.84989
2025-01-01 00:05:00,189.39,0.85138
2025-01-01 00:10:00,189.67,0.85321
2025-01-01 00:15:00,189.66,0.85362
2025-01-01 00:20:00,189.65,0.85435
2025-01-01 00:25:00,189.94,0.85639
2025-01-01 00:30:00,189.93,0.85561
2025-01-01 00:35:00,189.66,0.85478
2025-01-01 00:40:00,189.94,0.85737
2025-01-01 00:45:00,189.96,0.8583
2025-01-01 00:50:00,189.71,0.85639
2025-01-01 00:55:00,189.69,0.85609
2025-01-01 01:00:00,189.54,0.85708
2025-01-01 01:05:00,189.19,0.85536
2025-01-01 01:10:00,189.21,0.85525
2025-01-01 01:15:00,189.43,0.8552
2025-01-01 01:20:00,189.58,0.85663
2025-01-01 01:25:00,189.55,0.85694
2025-01-01 01:30:00,189.29,0.85481
2025-01-01 01:35:00,189.33,0.85456
2025-01-01 01:40:00,189.74,0.85518
2025-01-01 01:45:00,189.46,0.85486
2025-01-01 01:50:00,189.48,0.85576
2025-01-01 01:55:00,189.88,0.85728
2025-01-01 02:00:00,189.57,0.85618
2025-01-01 02:05:00,189.69,0.85828
2025-01-01 02:10:00,189.49,0.85823
2025-01-01 02:15:00,189.68,0.85843
2025-01-01 02:20:00,189.4,0.85759
2025-01-01 02:25:00,189.5,0.85806
2025-01-01 02:30:00,189.28,0.85741
2025-01-01 02:35:00,189.48,0.85751
2025-01-01 02:40:00,189.81,0.85519
2025-01-01 02:45:00,189.66,0.85233
2025-01-01 02:50:00,189.8,0.8533
2025-01-01 02:55:00,189.67,0.85187
2025-01-01 03:00:00,190.15,0.85372
2025-01-01 03:05:00,190.15,0.85243
2025-01-01 03:10:00,190.21,0.85313
2025-01-01 03:15:00,190.01,0.85218
2025-01-01 03:20:00,190.01,0.85237
2025-01-01 03:25:00,189.44,0.84989
2025-01-01 03:30:00,189.59,0.84886
2025-01-01 03:35:00,189.63,0.84976
2025-01-01 03:40:00,189.55,0.84899
2025-01-01 03:45:00,188.92,0.84658
2025-01-01 03:50:00,189.21,0.84693
2025-01-01 03:55:00,189.02,0.84658
2025-01-01 04:00:00,189.38,0.84942
2025-01-01 04:05:00,188.83,0.84603
2025-01-01 04:10:00,188.56,0.84574
2025-01-01 04:15:00,188.3,0.84384
2025-01-01 04:20:00,187.92,0.84067
2025-01-01 04:25:00,188.11,0.84268
2025-01-01 04:30:00,188.41,0.84306
2025-01-01 04:35:00,187.81,0.83883
2025-01-01 04:40:00,188.11,0.8427
2025-01-01 04:45:00,188.35,0.84569
2025-01-01 04:50:00,188.55,0.84576
2025-01-01 04:55:00,188.77,0.84614
2025-01-01 05:00:00,189.17,0.84893
2025-01-01 05:05:00,189.23,0.84824
2025-01-01 05:10:00,189.32,0.84673
2025-01-01 05:15:00,189.84,0.84629
2025-01-01 05:20:00,189.92,0.84669
2025-01-01 05:25:00,189.82,0.84539
2025-01-01 05:30:00,190.17,0.84685
2025-01-01 05:35:00,190.39,0.84736
2025-01-01 05:40:00,190.31,0.84675
2025-01-01 05:45:00,190.36,0.8459
2025-01-01 05:50:00,189.9,0.84402
2025-01-01 05:55:00,189.85,0.8442
2025-01-01 06:00:00,189.77,0.84262
2025-01-01 06:05:00,190.22,0.84419
2025-01-01 06:10:00,190.13,0.84396
2025-01-01 06:15:00,190.38,0.84754
2025-01-01 06:20:00,190.58,0.85088
2025-01-01 06:25:00,190.83,0.84988
2025-01-01 06:30:00,190.93,0.84843
2025-01-01 06:35:00,190.68,0.84898
2025-01-01 06:40:00,191.28,0.85374
2025-01-01 06:45:00,191.03,0.85357
2025-01-01 06:50:00,190.83,0.85305
2025-01-01 06:55:00,190.97,0.8531
2025-01-01 07:00:00,191.2,0.85542
2025-01-01 07:05:00,190.9,0.85559
2025-01-01 07:10:00,190.41,0.85544
2025-01-01 07:15:00,190.57,0.85719
2025-01-01 07:20:00,191.0,0.86108
2025-01-01 07:25:00,191.01,0.86145
2025-01-01 07:30:00,191.02,0.86071
2025-01-01 07:35:00,191.16,0.86294
2025-01-01 07:40:00,190.82,0.86379
2025-01-01 07:45:00,190.19,0.86194
2025-01-01 07:50:00,190.44,0.86498
2025-01-01 07:55:00,190.55,0.86559
2025-01-01 08:00:00,190.84,0.869
2025-01-01 08:05:00,189.97,0.86818
2025-01-01 08:10:00,189.85,0.86693
2025-01-01 08:15:00,189.43,0.86753
2025-01-01 08:20:00,189.31,0.86192
2025-01-01 08:25:00,189.3,0.86437
2025-01-01 08:30:00,189.55,0.86616
2025-01-01 08:35:00,189.53,0.86467
2025-01-01 08:40:00,189.58,0.86327
2025-01-01 08:45:00,189.9,0.86503
2025-01-01 08:50:00,189.68,0.86347
2025-01-01 08:55:00,189.84,0.86502
2025-01-01 09:00:00,190.56,0.86912
2025-01-01 09:05:00,190.51,0.86746
2025-01-01 09:10:00,190.55,0.86735
2025-01-01 09:15:00,190.18,0.86633
2025-01-01 09:20:00,190.03,0.86536
2025-01-01 09:25:00,189.56,0.86332
2025-01-01 09:30:00,189.0,0.85952
2025-01-01 09:35:00,189.64,0.86336
2025-01-01 09:40:00,189.75,0.86185
2025-01-01 09:45:00,190.24,0.8643
2025-01-01 09:50:00,190.15,0.86459
2025-01-01 09:55:00,190.47,0.86462
2025-01-01 10:00:00,190.48,0.86484
2025-01-01 10:05:00,190.41,0.86457
2025-01-01 10:10:00,189.79,0.86281
2025-01-01 10:15:00,190.16,0.86499
2025-01-01 10:20:00,190.07,0.86654
2025-01-01 10:25:00,190.12,0.86604
2025-01-01 10:30:00,190.25,0.86545
2025-01-01 10:35:00,190.47,0.86662
2025-01-01 10:40:00,191.1,0.87005
2025-01-01 10:45:00,191.48,0.87369
2025-01-01 10:50:00,191.27,0.87386
2025-01-01 10:55:00,191.46,0.87701
2025-01-01 11:00:00,191.0,0.8798
2025-01-01 11:05:00,191.28,0.88771
