datetime,XRP/USD:Binance,BNB/USD:Binance
2025-01-01 00:00:00,2.1229,704.81
2025-01-01 00:15:00,2.1283,705.99
2025-01-01 00:30:00,2.1429,705.5
2025-01-01 00:45:00,2.1358,705.58
2025-01-01 01:00:00,2.1356,705.4
2025-01-01 01:15:00,2.1442,706.4
2025-01-01 01:30:00,2.1366,705.85
2025-01-01 01:45:00,2.1439,706.59
2025-01-01 02:00:00,2.1327,705.12
2025-01-01 02:15:00,2.1387,704.24
2025-01-01 02:30:00,2.1334,703.83
2025-01-01 02:45:00,2.1246,703.75
2025-01-01 03:00:00,2.1319,703.95
2025-01-01 03:15:00,2.1206,702.93
2025-01-01 03:30:00,2.1173,703.58
2025-01-01 03:45:00,2.1103,703.06
2025-01-01 04:00:00,2.1073,703.36
2025-01-01 04:15:00,2.0966,701.79
2025-01-01 04:30:00,2.0977,701.48
2025-01-01 04:45:00,2.1052,703.73
2025-01-01 05:00:00,2.1081,703.4
2025-01-01 05:15:00,2.1099,705.36
2025-01-01 05:30:00,2.1123,706.82
2025-01-01 05:45:00,2.109,707.23
2025-01-01 06:00:00,2.1123,708.09
2025-01-01 06:15:00,2.1312,708.75
2025-01-01 06:30:00,2.1392,708.62
2025-01-01 06:45:00,2.1357,707.57
2025-01-01 07:00:00,2.1397,706.6
2025-01-01 07:15:00,2.1604,706.9
2025-01-01 07:30:00,2.1595,707.05
2025-01-01 07:45:00,2.1679,706.29
2025-01-01 08:00:00,2.176,706.76
2025-01-01 08:15:00,2.17,709.43
2025-01-01 08:30:00,2.1617,709.03
2025-01-01 08:45:00,2.1653,710.22
2025-01-01 09:00:00,2.1806,708.82
2025-01-01 09:15:00,2.1712,707.26
2025-01-01 09:30:00,2.1677,707.3
2025-01-01 09:45:00,2.174,708.02
2025-01-01 10:00:00,2.1662,707.36
2025-01-01 10:15:00,2.1799,707.11
2025-01-01 10:30:00,2.1979,707.2
2025-01-01 10:45:00,2.2283,708.11
2025-01-01 11:00:00,2.2628,706.56
2025-01-01 11:15:00,2.2835,705.5
2025-01-01 11:30:00,2.2535,704.58
2025-01-01 11:45:00,2.2635,704.99
2025-01-01 12:00:00,2.227,703.7
2025-01-01 12:15:00,2.2308,705.3
2025-01-01 12:30:00,2.2497,705.33
2025-01-01 12:45:00,2.2596,705.61
2025-01-01 13:00:00,2.2588,704.78
2025-01-01 13:15:00,2.2754,704.62
2025-01-01 13:30:00,2.3083,705.8
2025-01-01 13:45:00,2.322,706.02
2025-01-01 14:00:00,2.3254,706.33
2025-01-01 14:15:00,2.3019,706.6
2025-01-01 14:30:00,2.3121,706.5
2025-01-01 14:45:00,2.3172,707.85
2025-01-01 15:00:00,2.3119,708.61
2025-01-01 15:15:00,2.3108,708.14
2025-01-01 15:30:00,2.3012,708.16
2025-01-01 15:45:00,2.3068,708.22
2025-01-01 16:00:00,2.3057,707.89
2025-01-01 16:15:00,2.3136,707.83
2025-01-01 16:30:00,2.3179,707.15
2025-01-01 16:45:00,2.3207,707.96
2025-01-01 17:00:00,2.3016,708.49
2025-01-01 17:15:00,2.3119,707.49
2025-01-01 17:30:00,2.3316,707.37
2025-01-01 17:45:00,2.3493,707.58
2025-01-01 18:00:00,2.3378,708.39
2025-01-01 18:15:00,2.3354,707.36
2025-01-01 18:30:00,2.3205,708.18
2025-01-01 18:45:00,2.3328,707.84
2025-01-01 19:00:00,2.3895,705.68
2025-01-01 19:15:00,2.4438,701.7
2025-01-01 19:30:00,2.4313,703.57
2025-01-01 19:45:00,2.3887,702.09
2025-01-01 20:00:00,2.3947,702.47
2025-01-01 20:15:00,2.4004,702.56
2025-01-01 20:30:00,2.4008,702.76
2025-01-01 20:45:00,2.4008,701.53
2025-01-01 21:00:00,2.3982,701.52
2025-01-01 21:15:00,2.4058,700.68
2025-01-01 21:30:00,2.4005,699.7
2025-01-01 21:45:00,2.4054,702.11
2025-01-01 22:00:00,2.4007,702.1
2025-01-01 22:15:00,2.4125,703.46
2025-01-01 22:30:00,2.4159,702.89
2025-01-01 22:45:00,2.4249,702.17
2025-01-01 23:00:00,2.415,702.12
2025-01-01 23:15:00,2.4132,702.21
2025-01-01 23:30:00,2.4132,706.64
2025-01-01 23:45:00,2.4001,707.5
2025-01-02 00:00:00,2.3907,707.16
2025-01-02 00:15:00,2.3939,707.48
2025-01-02 00:30:00,2.3926,707.6
2025-01-02 00:45:00,2.3725,706.49
2025-01-02 01:00:00,2.37,706.42
2025-01-02 01:15:00,2.3479,703.65
2025-01-02 01:30:00,2.3593,704.74
2025-01-02 01:45:00,2.3545,704.88
2025-01-02 02:00:00,2.359,706.17
2025-01-02 02:15:00,2.3508,707.21
2025-01-02 02:30:00,2.3625,706.77
2025-01-02 02:45:00,2.3672,706.94
2025-01-02 03:00:00,2.3773,708.79
2025-01-02 03:15:00,2.3825,707.8
2025-01-02 03:30:00,2.3803,708.63
2025-01-02 03:45:00,2.3788,710.49
2025-01-02 04:00:00,2.3989,710.06
2025-01-02 04:15:00,2.4008,711.3
2025-01-02 04:30:00,2.4094,712.42
2025-01-02 04:45:00,2.4005,715.08
2025-01-02 05:00:00,2.3931,712.24
2025-01-02 05:15:00,2.3882,713.14
2025-01-02 05:30:00,2.3975,712.82
2025-01-02 05:45:00,2.3952,712.5
