datetime,XRP/USD:Binance,ETH/USD:Binance
2025-01-01 00:00:00,2.1229,3346.8
2025-01-01 00:15:00,2.1283,3350.01
2025-01-01 00:30:00,2.1429,3348.09
2025-01-01 00:45:00,2.1358,3345.41
2025-01-01 01:00:00,2.1356,3341.49
2025-01-01 01:15:00,2.1442,3344.0
2025-01-01 01:30:00,2.1366,3344.48
2025-01-01 01:45:00,2.1439,3346.6
2025-01-01 02:00:00,2.1327,3341.26
2025-01-01 02:15:00,2.1387,3341.59
2025-01-01 02:30:00,2.1334,3344.02
2025-01-01 02:45:00,2.1246,3347.12
2025-01-01 03:00:00,2.1319,3347.23
2025-01-01 03:15:00,2.1206,3337.85
2025-01-01 03:30:00,2.1173,3339.69
2025-01-01 03:45:00,2.1103,3337.01
2025-01-01 04:00:00,2.1073,3334.29
2025-01-01 04:15:00,2.0966,3322.34
2025-01-01 04:30:00,2.0977,3327.16
2025-01-01 04:45:00,2.1052,3334.64
2025-01-01 05:00:00,2.1081,3330.1
2025-01-01 05:15:00,2.1099,3332.96
2025-01-01 05:30:00,2.1123,3330.92
2025-01-01 05:45:00,2.109,3326.69
2025-01-01 06:00:00,2.1123,3329.52
2025-01-01 06:15:00,2.1312,3335.6
2025-01-01 06:30:00,2.1392,3342.75
2025-01-01 06:45:00,2.1357,3341.0
2025-01-01 07:00:00,2.1397,3341.82
2025-01-01 07:15:00,2.1604,3350.75
2025-01-01 07:30:00,2.1595,3347.62
2025-01-01 07:45:00,2.1679,3347.46
2025-01-01 08:00:00,2.176,3338.83
2025-01-01 08:15:00,2.17,3336.29
2025-01-01 08:30:00,2.1617,3337.28
2025-01-01 08:45:00,2.1653,3343.37
2025-01-01 09:00:00,2.1806,3348.51
2025-01-01 09:15:00,2.1712,3337.58
2025-01-01 09:30:00,2.1677,3338.94
2025-01-01 09:45:00,2.174,3345.86
2025-01-01 10:00:00,2.1662,3337.29
2025-01-01 10:15:00,2.1799,3338.8
2025-01-01 10:30:00,2.1979,3347.33
2025-01-01 10:45:00,2.2283,3352.93
2025-01-01 11:00:00,2.2628,3347.72
2025-01-01 11:15:00,2.2835,3345.07
2025-01-01 11:30:00,2.2535,3336.32
2025-01-01 11:45:00,2.2635,3338.68
2025-01-01 12:00:00,2.227,3330.82
2025-01-01 12:15:00,2.2308,3334.01
2025-01-01 12:30:00,2.2497,3337.67
2025-01-01 12:45:00,2.2596,3343.7
2025-01-01 13:00:00,2.2588,3334.51
2025-01-01 13:15:00,2.2754,3338.82
2025-01-01 13:30:00,2.3083,3348.34
2025-01-01 13:45:00,2.322,3348.57
2025-01-01 14:00:00,2.3254,3348.48
2025-01-01 14:15:00,2.3019,3345.0
2025-01-01 14:30:00,2.3121,3350.36
2025-01-01 14:45:00,2.3172,3356.55
2025-01-01 15:00:00,2.3119,3357.95
2025-01-01 15:15:00,2.3108,3354.25
2025-01-01 15:30:00,2.3012,3355.19
2025-01-01 15:45:00,2.3068,3360.4
2025-01-01 16:00:00,2.3057,3356.67
2025-01-01 16:15:00,2.3136,3367.82
2025-01-01 16:30:00,2.3179,3362.29
2025-01-01 16:45:00,2.3207,3368.39
2025-01-01 17:00:00,2.3016,3363.42
2025-01-01 17:15:00,2.3119,3368.78
2025-01-01 17:30:00,2.3316,3368.52
2025-01-01 17:45:00,2.3493,3361.63
2025-01-01 18:00:00,2.3378,3361.42
2025-01-01 18:15:00,2.3354,3356.5
2025-01-01 18:30:00,2.3205,3359.06
2025-01-01 18:45:00,2.3328,3360.38
2025-01-01 19:00:00,2.3895,3361.39
2025-01-01 19:15:00,2.4438,3385.04
2025-01-01 19:30:00,2.4313,3391.36
2025-01-01 19:45:00,2.3887,3389.92
2025-01-01 20:00:00,2.3947,3399.33
2025-01-01 20:15:00,2.4004,3392.57
