datetime,SOL/USD:Binance,ETH/USD:Binance
2025-01-01 00:00:00,190.11,3346.8
2025-01-01 00:15:00,190.43,3350.01
2025-01-01 00:30:00,190.38,3348.09
2025-01-01 00:45:00,190.15,3345.41
2025-01-01 01:00:00,189.64,3341.49
2025-01-01 01:15:00,189.95,3344.0
2025-01-01 01:30:00,190.17,3344.48
2025-01-01 01:45:00,190.3,3346.6
2025-01-01 02:00:00,189.91,3341.26
2025-01-01 02:15:00,189.9,3341.59
2025-01-01 02:30:00,190.22,3344.02
2025-01-01 02:45:00,190.06,3347.12
2025-01-01 03:00:00,190.6,3347.23
2025-01-01 03:15:00,189.82,3337.85
2025-01-01 03:30:00,189.92,3339.69
2025-01-01 03:45:00,189.4,3337.01
2025-01-01 04:00:00,188.94,3334.29
2025-01-01 04:15:00,188.49,3322.34
2025-01-01 04:30:00,188.49,3327.16
2025-01-01 04:45:00,189.18,3334.64
2025-01-01 05:00:00,189.74,3330.1
2025-01-01 05:15:00,190.22,3332.96
2025-01-01 05:30:00,190.7,3330.92
2025-01-01 05:45:00,190.24,3326.69
2025-01-01 06:00:00,190.55,3329.52
2025-01-01 06:15:00,191.23,3335.6
2025-01-01 06:30:00,191.68,3342.75
2025-01-01 06:45:00,191.36,3341.0
2025-01-01 07:00:00,190.82,3341.82
2025-01-01 07:15:00,191.41,3350.75
2025-01-01 07:30:00,191.22,3347.62
2025-01-01 07:45:00,190.95,3347.46
2025-01-01 08:00:00,190.25,3338.83
2025-01-01 08:15:00,189.69,3336.29
2025-01-01 08:30:00,189.96,3337.28
2025-01-01 08:45:00,190.25,3343.37
2025-01-01 09:00:00,190.95,3348.51
2025-01-01 09:15:00,189.95,3337.58
2025-01-01 09:30:00,190.14,3338.94
2025-01-01 09:45:00,190.88,3345.86
2025-01-01 10:00:00,190.2,3337.29
2025-01-01 10:15:00,190.54,3338.8
2025-01-01 10:30:00,191.51,3347.33
2025-01-01 10:45:00,191.91,3352.93
2025-01-01 11:00:00,191.17,3347.72
2025-01-01 11:15:00,191.1,3345.07
2025-01-01 11:30:00,190.54,3336.32
2025-01-01 11:45:00,190.51,3338.68
2025-01-01 12:00:00,189.73,3330.82
2025-01-01 12:15:00,189.85,3334.01
2025-01-01 12:30:00,190.12,3337.67
2025-01-01 12:45:00,190.64,3343.7
2025-01-01 13:00:00,190.35,3334.51
2025-01-01 13:15:00,190.76,3338.82
2025-01-01 13:30:00,191.86,3348.34
2025-01-01 13:45:00,191.68,3348.57
2025-01-01 14:00:00,192.42,3348.48
2025-01-01 14:15:00,192.37,3345.0
2025-01-01 14:30:00,192.6,3350.36
2025-01-01 14:45:00,193.1,3356.55
2025-01-01 15:00:00,193.71,3357.95
2025-01-01 15:15:00,193.77,3354.25
2025-01-01 15:30:00,194.2,3355.19
2025-01-01 15:45:00,194.36,3360.4
2025-01-01 16:00:00,194.12,3356.67
2025-01-01 16:15:00,195.07,3367.82
2025-01-01 16:30:00,194.33,3362.29
2025-01-01 16:45:00,194.69,3368.39
2025-01-01 17:00:00,193.97,3363.42
2025-01-01 17:15:00,194.11,3368.78
2025-01-01 17:30:00,194.82,3368.52
2025-01-01 17:45:00,194.53,3361.63
2025-01-01 18:00:00,194.59,3361.42
2025-01-01 18:15:00,194.24,3356.5
2025-01-01 18:30:00,194.24,3359.06
2025-01-01 18:45:00,194.28,3360.38
2025-01-01 19:00:00,194.0,3361.39
2025-01-01 19:15:00,195.17,3385.04
2025-01-01 19:30:00,196.31,3391.36
2025-01-01 19:45:00,196.25,3389.92
2025-01-01 20:00:00,197.83,3399.33
2025-01-01 20:15:00,197.03,3392.57
2025-01-01 20:30:00,197.56,3388.6
2025-01-01 20:45:00,197.71,3383.92
2025-01-01 21:00:00,198.11,3387.95
2025-01-01 21:15:00,198.7,3389.16
2025-01-01 21:30:00,198.74,3388.04
2025-01-01 21:45:00,199.41,3398.49
2025-01-01 22:00:00,198.43,3389.18
2025-01-01 22:15:00,198.65,3394.39
2025-01-01 22:30:00,197.89,3389.33
2025-01-01 22:45:00,198.54,3388.55
2025-01-01 23:00:00,199.89,3391.21
2025-01-01 23:15:00,200.13,3389.28
2025-01-01 23:30:00,204.22,3417.21
2025-01-01 23:45:00,204.47,3417.69
2025-01-02 00:00:00,203.72,3406.85
2025-01-02 00:15:00,204.99,3416.04
2025-01-02 00:30:00,205.0,3417.89
2025-01-02 00:45:00,204.62,3412.39
2025-01-02 01:00:00,204.72,3407.54
2025-01-02 01:15:00,204.54,3403.3
2025-01-02 01:30:00,205.27,3409.53
2025-01-02 01:45:00,205.36,3410.37
2025-01-02 02:00:00,205.99,3415.34
2025-01-02 02:15:00,206.59,3418.05
2025-01-02 02:30:00,206.21,3417.31
2025-01-02 02:45:00,205.91,3420.05
2025-01-02 03:00:00,206.49,3432.21
2025-01-02 03:15:00,206.05,3418.29
2025-01-02 03:30:00,207.05,3424.38
2025-01-02 03:45:00,206.8,3437.93
2025-01-02 04:00:00,206.66,3441.99
2025-01-02 04:15:00,207.84,3445.46
2025-01-02 04:30:00,207.17,3442.36
2025-01-02 04:45:00,207.38,3467.95
2025-01-02 05:00:00,207.1,3458.99
2025-01-02 05:15:00,207.4,3471.17
2025-01-02 05:30:00,206.86,3468.27
2025-01-02 05:45:00,206.98,3468.81
2025-01-02 06:00:00,207.17,3463.56
2025-01-02 06:15:00,207.92,3465.54
2025-01-02 06:30:00,208.66,3471.8
2025-01-02 06:45:00,208.51,3471.18
2025-01-02 07:00:00,209.22,3477.75
2025-01-02 07:15:00,208.08,3471.74
2025-01-02 07:30:00,208.48,3473.23
2025-01-02 07:45:00,208.39,3480.48
2025-01-02 08:00:00,208.02,3462.82
2025-01-02 08:15:00,208.29,3468.53
2025-01-02 08:30:00,208.4,3469.93
2025-01-02 08:45:00,208.17,3465.85
2025-01-02 09:00:00,207.92,3458.48
2025-01-02 09:15:00,208.73,3462.58
2025-01-02 09:30:00,208.35,3479.75
2025-01-02 09:45:00,208.2,3495.19
2025-01-02 10:00:00,207.76,3485.62
2025-01-02 10:15:00,206.64,3469.55
2025-01-02 10:30:00,206.03,3462.52
2025-01-02 10:45:00,206.77,3463.51
2025-01-02 11:00:00,207.2,3469.07
2025-01-02 11:15:00,208.28,3480.53
2025-01-02 11:30:00,208.78,3483.49
2025-01-02 11:45:00,207.45,3469.54
2025-01-02 12:00:00,208.0,3477.66
2025-01-02 12:15:00,207.41,3463.39
2025-01-02 12:30:00,205.88,3447.69
2025-01-02 12:45:00,206.05,3450.46
2025-01-02 13:00:00,205.41,3452.94
2025-01-02 13:15:00,205.85,3458.69
2025-01-02 13:30:00,206.47,3455.13
2025-01-02 13:45:00,206.44,3465.24
2025-01-02 14:00:00,207.09,3466.46
2025-01-02 14:15:00,207.75,3470.65
2025-01-02 14:30:00,207.3,3465.32
2025-01-02 14:45:00,206.69,3463.18
2025-01-02 15:00:00,207.3,3468.55
2025-01-02 15:15:00,207.75,3468.78
2025-01-02 15:30:00,207.49,3456.5
2025-01-02 15:45:00,206.82,3453.0
2025-01-02 16:00:00,206.54,3446.94
2025-01-02 16:15:00,206.55,3452.96
2025-01-02 16:30:00,205.6,3450.69
2025-01-02 16:45:00,206.54,3454.2
2025-01-02 17:00:00,205.91,3447.12
2025-01-02 17:15:00,205.97,3434.78
2025-01-02 17:30:00,206.44,3439.39
2025-01-02 17:45:00,206.6,3440.61
2025-01-02 18:00:00,206.81,3442.41
2025-01-02 18:15:00,207.91,3450.81
2025-01-02 18:30:00,208.15,3452.27
2025-01-02 18:45:00,208.31,3455.67
2025-01-02 19:00:00,208.05,3451.0
2025-01-02 19:15:00,207.83,3462.83
2025-01-02 19:30:00,207.2,3454.18
2025-01-02 19:45:00,207.15,3449.22
2025-01-02 20:00:00,205.97,3448.35
2025-01-02 20:15:00,206.58,3458.5
2025-01-02 20:30:00,206.03,3452.92
2025-01-02 20:45:00,206.86,3464.83
2025-01-02 21:00:00,207.37,3469.99
2025-01-02 21:15:00,208.09,3474.95
2025-01-02 21:30:00,207.48,3466.09
2025-01-02 21:45:00,206.87,3457.95
2025-01-02 22:00:00,206.78,3457.91
2025-01-02 22:15:00,206.33,3460.01
2025-01-02 22:30:00,207.03,3465.53
2025-01-02 22:45:00,208.05,3470.16
2025-01-02 23:00:00,207.7,3466.83
2025-01-02 23:15:00,207.45,3461.79
2025-01-02 23:30:00,207.59,3459.14
2025-01-02 23:45:00,207.72,3458.38
2025-01-03 00:00:00,208.51,3454.88
2025-01-03 00:15:00,208.49,3449.08
2025-01-03 00:30:00,208.81,3451.28
2025-01-03 00:45:00,208.87,3455.98
2025-01-03 01:00:00,209.4,3458.0
2025-01-03 01:15:00,209.53,3449.01
2025-01-03 01:30:00,209.41,3450.66
2025-01-03 01:45:00,207.77,3442.6
2025-01-03 02:00:00,207.58,3438.4
2025-01-03 02:15:00,207.38,3435.73
2025-01-03 02:30:00,208.18,3438.15
2025-01-03 02:45:00,207.95,3433.27
2025-01-03 03:00:00,209.0,3434.49
2025-01-03 03:15:00,209.54,3431.53
2025-01-03 03:30:00,209.75,3434.17
2025-01-03 03:45:00,209.36,3430.2
2025-01-03 04:00:00,211.92,3440.61
2025-01-03 04:15:00,211.7,3444.57
2025-01-03 04:30:00,211.03,3447.81
2025-01-03 04:45:00,211.2,3443.62
2025-01-03 05:00:00,210.57,3439.49
2025-01-03 05:15:00,211.05,3446.05
2025-01-03 05:30:00,211.07,3446.14
2025-01-03 05:45:00,211.13,3446.01
2025-01-03 06:00:00,211.29,3449.45
2025-01-03 06:15:00,212.36,3457.01
2025-01-03 06:30:00,212.91,3459.0
2025-01-03 06:45:00,214.51,3465.62
2025-01-03 07:00:00,214.67,3471.94
2025-01-03 07:15:00,214.25,3473.48
2025-01-03 07:30:00,213.47,3465.78
2025-01-03 07:45:00,213.4,3463.83
2025-01-03 08:00:00,213.54,3485.2
2025-01-03 08:15:00,212.33,3486.17
2025-01-03 08:30:00,213.24,3487.99
2025-01-03 08:45:00,212.92,3481.85
2025-01-03 09:00:00,214.22,3495.65
2025-01-03 09:15:00,215.38,3511.99
2025-01-03 09:30:00,218.11,3525.39
2025-01-03 09:45:00,218.3,3527.19
2025-01-03 10:00:00,217.6,3535.38
2025-01-03 10:15:00,217.24,3539.31
2025-01-03 10:30:00,217.76,3554.38
2025-01-03 10:45:00,217.36,3565.13
2025-01-03 11:00:00,217.62,3587.58
2025-01-03 11:15:00,218.27,3581.69
2025-01-03 11:30:00,219.13,3588.55
2025-01-03 11:45:00,217.7,3584.28
2025-01-03 12:00:00,217.0,3579.44
2025-01-03 12:15:00,217.26,3577.81
