datetime,SOL/USD,ADA/USD
2025-01-01 00:00:00,189.67,0.85321
2025-01-01 00:15:00,189.94,0.85639
2025-01-01 00:30:00,189.94,0.85737
2025-01-01 00:45:00,189.69,0.85609
2025-01-01 01:00:00,189.21,0.85525
2025-01-01 01:15:00,189.55,0.85694
2025-01-01 01:30:00,189.74,0.85518
2025-01-01 01:45:00,189.88,0.85728
2025-01-01 02:00:00,189.49,0.85823
2025-01-01 02:15:00,189.5,0.85806
2025-01-01 02:30:00,189.81,0.85519
2025-01-01 02:45:00,189.67,0.85187
2025-01-01 03:00:00,190.21,0.85313
2025-01-01 03:15:00,189.44,0.84989
2025-01-01 03:30:00,189.55,0.84899
2025-01-01 03:45:00,189.02,0.84658
2025-01-01 04:00:00,188.56,0.84574
2025-01-01 04:15:00,188.11,0.84268
2025-01-01 04:30:00,188.11,0.8427
2025-01-01 04:45:00,188.77,0.84614
2025-01-01 05:00:00,189.32,0.84673
2025-01-01 05:15:00,189.82,0.84539
2025-01-01 05:30:00,190.31,0.84675
2025-01-01 05:45:00,189.85,0.8442
2025-01-01 06:00:00,190.13,0.84396
2025-01-01 06:15:00,190.83,0.84988
2025-01-01 06:30:00,191.28,0.85374
2025-01-01 06:45:00,190.97,0.8531
2025-01-01 07:00:00,190.41,0.85544
2025-01-01 07:15:00,191.01,0.86145
2025-01-01 07:30:00,190.82,0.86379
2025-01-01 07:45:00,190.55,0.86559
2025-01-01 08:00:00,189.85,0.86693
2025-01-01 08:15:00,189.3,0.86437
2025-01-01 08:30:00,189.58,0.86327
2025-01-01 08:45:00,189.84,0.86502
2025-01-01 09:00:00,190.55,0.86735
2025-01-01 09:15:00,189.56,0.86332
2025-01-01 09:30:00,189.75,0.86185
2025-01-01 09:45:00,190.47,0.86462
2025-01-01 10:00:00,189.79,0.86281
2025-01-01 10:15:00,190.12,0.86604
2025-01-01 10:30:00,191.1,0.87005
2025-01-01 10:45:00,191.46,0.87701
2025-01-01 11:00:00,190.77,0.88975
2025-01-01 11:15:00,190.66,0.89123
2025-01-01 11:30:00,190.14,0.88015
2025-01-01 11:45:00,190.12,0.88931
2025-01-01 12:00:00,189.24,0.88092
2025-01-01 12:15:00,189.4,0.88185
2025-01-01 12:30:00,189.64,0.88677
2025-01-01 12:45:00,190.15,0.88881
2025-01-01 13:00:00,189.92,0.88515
2025-01-01 13:15:00,190.3,0.89271
2025-01-01 13:30:00,191.4,0.90589
2025-01-01 13:45:00,191.21,0.92172
2025-01-01 14:00:00,192.01,0.92667
2025-01-01 14:15:00,191.91,0.91394
2025-01-01 14:30:00,192.11,0.9168
2025-01-01 14:45:00,192.7,0.91747
2025-01-01 15:00:00,193.32,0.92374
2025-01-01 15:15:00,193.4,0.92934
2025-01-01 15:30:00,193.81,0.92297
2025-01-01 15:45:00,193.92,0.92054
2025-01-01 16:00:00,193.74,0.9205
2025-01-01 16:15:00,194.64,0.921
2025-01-01 16:30:00,193.89,0.91704
2025-01-01 16:45:00,194.24,0.9189
2025-01-01 17:00:00,193.54,0.91676
2025-01-01 17:15:00,193.7,0.91507
2025-01-01 17:30:00,194.39,0.92093
2025-01-01 17:45:00,194.03,0.92123
2025-01-01 18:00:00,194.18,0.919
2025-01-01 18:15:00,193.81,0.91659
2025-01-01 18:30:00,193.77,0.91556
2025-01-01 18:45:00,193.84,0.92227
2025-01-01 19:00:00,193.56,0.93399
2025-01-01 19:15:00,194.78,0.94807
2025-01-01 19:30:00,195.89,0.95206
2025-01-01 19:45:00,195.82,0.94562
2025-01-01 20:00:00,197.42,0.94824
2025-01-01 20:15:00,196.63,0.95178
2025-01-01 20:30:00,197.17,0.95504
2025-01-01 20:45:00,197.33,0.94651
2025-01-01 21:00:00,197.74,0.94223
2025-01-01 21:15:00,198.3,0.94288
2025-01-01 21:30:00,198.37,0.9404
2025-01-01 21:45:00,199.0,0.94204
2025-01-01 22:00:00,198.04,0.9401
2025-01-01 22:15:00,198.28,0.9429
2025-01-01 22:30:00,197.54,0.94193
2025-01-01 22:45:00,198.16,0.94196
2025-01-01 23:00:00,199.5,0.94028
2025-01-01 23:15:00,199.74,0.936
2025-01-01 23:30:00,203.81,0.9448
2025-01-01 23:45:00,204.09,0.9442
2025-01-02 00:00:00,203.36,0.94021
2025-01-02 00:15:00,204.59,0.93721
2025-01-02 00:30:00,204.61,0.93848
2025-01-02 00:45:00,204.24,0.93252
2025-01-02 01:00:00,204.29,0.92974
2025-01-02 01:15:00,204.14,0.92559
2025-01-02 01:30:00,204.84,0.92804
2025-01-02 01:45:00,205.02,0.92718
2025-01-02 02:00:00,205.65,0.93028
2025-01-02 02:15:00,206.29,0.93059
2025-01-02 02:30:00,205.89,0.933
2025-01-02 02:45:00,205.61,0.93364
2025-01-02 03:00:00,206.2,0.93454
2025-01-02 03:15:00,205.76,0.93163
2025-01-02 03:30:00,206.73,0.93183
2025-01-02 03:45:00,206.52,0.936
2025-01-02 04:00:00,206.36,0.93796
