datetime,ADA/USD,SOL/USD
2025-01-01 00:00:00,0.84989,189.2
2025-01-01 00:05:00,0.85138,189.39
2025-01-01 00:10:00,0.85321,189.67
2025-01-01 00:15:00,0.85362,189.66
2025-01-01 00:20:00,0.85435,189.65
2025-01-01 00:25:00,0.85639,189.94
2025-01-01 00:30:00,0.85561,189.93
2025-01-01 00:35:00,0.85478,189.66
2025-01-01 00:40:00,0.85737,189.94
2025-01-01 00:45:00,0.8583,189.96
2025-01-01 00:50:00,0.85639,189.71
2025-01-01 00:55:00,0.85609,189.69
2025-01-01 01:00:00,0.85708,189.54
2025-01-01 01:05:00,0.85536,189.19
2025-01-01 01:10:00,0.85525,189.21
2025-01-01 01:15:00,0.8552,189.43
2025-01-01 01:20:00,0.85663,189.58
2025-01-01 01:25:00,0.85694,189.55
2025-01-01 01:30:00,0.85481,189.29
2025-01-01 01:35:00,0.85456,189.33
2025-01-01 01:40:00,0.85518,189.74
2025-01-01 01:45:00,0.85486,189.46
2025-01-01 01:50:00,0.85576,189.48
2025-01-01 01:55:00,0.85728,189.88
2025-01-01 02:00:00,0.85618,189.57
2025-01-01 02:05:00,0.85828,189.69
2025-01-01 02:10:00,0.85823,189.49
2025-01-01 02:15:00,0.85843,189.68
2025-01-01 02:20:00,0.85759,189.4
2025-01-01 02:25:00,0.85806,189.5
2025-01-01 02:30:00,0.85741,189.28
2025-01-01 02:35:00,0.85751,189.48
2025-01-01 02:40:00,0.85519,189.81
2025-01-01 02:45:00,0.85233,189.66
2025-01-01 02:50:00,0.8533,189.8
2025-01-01 02:55:00,0.85187,189.67
2025-01-01 03:00:00,0.85372,190.15
2025-01-01 03:05:00,0.85243,190.15
2025-01-01 03:10:00,0.85313,190.21
2025-01-01 03:15:00,0.85218,190.01
2025-01-01 03:20:00,0.85237,190.01
2025-01-01 03:25:00,0.84989,189.44
2025-01-01 03:30:00,0.84886,189.59
2025-01-01 03:35:00,0.84976,189.63
2025-01-01 03:40:00,0.84899,189.55
2025-01-01 03:45:00,0.84658,188.92
2025-01-01 03:50:00,0.84693,189.21
2025-01-01 03:55:00,0.84658,189.02
2025-01-01 04:00:00,0.84942,189.38
2025-01-01 04:05:00,0.84603,188.83
2025-01-01 04:10:00,0.84574,188.56
2025-01-01 04:15:00,0.84384,188.3
2025-01-01 04:20:00,0.84067,187.92
2025-01-01 04:25:00,0.84268,188.11
2025-01-01 04:30:00,0.84306,188.41
2025-01-01 04:35:00,0.83883,187.81
2025-01-01 04:40:00,0.8427,188.11
2025-01-01 04:45:00,0.84569,188.35
2025-01-01 04:50:00,0.84576,188.55
2025-01-01 04:55:00,0.84614,188.77
2025-01-01 05:00:00,0.84893,189.17
2025-01-01 05:05:00,0.84824,189.23
2025-01-01 05:10:00,0.84673,189.32
2025-01-01 05:15:00,0.84629,189.84
2025-01-01 05:20:00,0.84669,189.92
2025-01-01 05:25:00,0.84539,189.82
2025-01-01 05:30:00,0.84685,190.17
2025-01-01 05:35:00,0.84736,190.39
2025-01-01 05:40:00,0.84675,190.31
2025-01-01 05:45:00,0.8459,190.36
2025-01-01 05:50:00,0.84402,189.9
2025-01-01 05:55:00,0.8442,189.85
2025-01-01 06:00:00,0.84262,189.77
2025-01-01 06:05:00,0.84419,190.22
2025-01-01 06:10:00,0.84396,190.13
2025-01-01 06:15:00,0.84754,190.38
2025-01-01 06:20:00,0.85088,190.58
2025-01-01 06:25:00,0.84988,190.83
2025-01-01 06:30:00,0.84843,190.93
2025-01-01 06:35:00,0.84898,190.68
2025-01-01 06:40:00,0.85374,191.28
2025-01-01 06:45:00,0.85357,191.03
2025-01-01 06:50:00,0.85305,190.83
2025-01-01 06:55:00,0.8531,190.97
2025-01-01 07:00:00,0.85542,191.2
2025-01-01 07:05:00,0.85559,190.9
2025-01-01 07:10:00,0.85544,190.41
2025-01-01 07:15:00,0.85719,190.57
2025-01-01 07:20:00,0.86108,191.0
2025-01-01 07:25:00,0.86145,191.01
2025-01-01 07:30:00,0.86071,191.02
2025-01-01 07:35:00,0.86294,191.16
2025-01-01 07:40:00,0.86379,190.82
2025-01-01 07:45:00,0.86194,190.19
2025-01-01 07:50:00,0.86498,190.44
2025-01-01 07:55:00,0.86559,190.55
2025-01-01 08:00:00,0.869,190.84
2025-01-01 08:05:00,0.86818,189.97
2025-01-01 08:10:00,0.86693,189.85
2025-01-01 08:15:00,0.86753,189.43
2025-01-01 08:20:00,0.86192,189.31
2025-01-01 08:25:00,0.86437,189.3
2025-01-01 08:30:00,0.86616,189.55
2025-01-01 08:35:00,0.86467,189.53
2025-01-01 08:40:00,0.86327,189.58
2025-01-01 08:45:00,0.86503,189.9
2025-01-01 08:50:00,0.86347,189.68
2025-01-01 08:55:00,0.86502,189.84
2025-01-01 09:00:00,0.86912,190.56
2025-01-01 09:05:00,0.86746,190.51
2025-01-01 09:10:00,0.86735,190.55
2025-01-01 09:15:00,0.86633,190.18
2025-01-01 09:20:00,0.86536,190.03
2025-01-01 09:25:00,0.86332,189.56
2025-01-01 09:30:00,0.85952,189.0
2025-01-01 09:35:00,0.86336,189.64
2025-01-01 09:40:00,0.86185,189.75
2025-01-01 09:45:00,0.8643,190.24
2025-01-01 09:50:00,0.86459,190.15
2025-01-01 09:55:00,0.86462,190.47
2025-01-01 10:00:00,0.86484,190.48
2025-01-01 10:05:00,0.86457,190.41
2025-01-01 10:10:00,0.86281,189.79
2025-01-01 10:15:00,0.86499,190.16
2025-01-01 10:20:00,0.86654,190.07
2025-01-01 10:25:00,0.86604,190.12
2025-01-01 10:30:00,0.86545,190.25
2025-01-01 10:35:00,0.86662,190.47
2025-01-01 10:40:00,0.87005,191.1
2025-01-01 10:45:00,0.87369,191.48
2025-01-01 10:50:00,0.87386,191.27
2025-01-01 10:55:00,0.87701,191.46
2025-01-01 11:00:00,0.8798,191.0
2025-01-01 11:05:00,0.88771,191.28
2025-01-01 11:10:00,0.88975,190.77
2025-01-01 11:15:00,0.88882,190.41
2025-01-01 11:20:00,0.89105,190.62
2025-01-01 11:25:00,0.89123,190.66
2025-01-01 11:30:00,0.88969,190.6
2025-01-01 11:35:00,0.88459,190.78
2025-01-01 11:40:00,0.88015,190.14
2025-01-01 11:45:00,0.88428,190.39
2025-01-01 11:50:00,0.88585,189.97
2025-01-01 11:55:00,0.88931,190.12
2025-01-01 12:00:00,0.88274,189.57
2025-01-01 12:05:00,0.8809,189.49
2025-01-01 12:10:00,0.88092,189.24
2025-01-01 12:15:00,0.8773,188.92
2025-01-01 12:20:00,0.88145,189.29
2025-01-01 12:25:00,0.88185,189.4
2025-01-01 12:30:00,0.88395,189.44
2025-01-01 12:35:00,0.88607,189.61
2025-01-01 12:40:00,0.88677,189.64
2025-01-01 12:45:00,0.88607,189.22
2025-01-01 12:50:00,0.88896,189.85
2025-01-01 12:55:00,0.88881,190.15
2025-01-01 13:00:00,0.88569,189.87
2025-01-01 13:05:00,0.88494,189.63
2025-01-01 13:10:00,0.88515,189.92
2025-01-01 13:15:00,0.8894,190.08
2025-01-01 13:20:00,0.89155,190.22
2025-01-01 13:25:00,0.89271,190.3
2025-01-01 13:30:00,0.9012,191.26
2025-01-01 13:35:00,0.90386,191.43
2025-01-01 13:40:00,0.90589,191.4
2025-01-01 13:45:00,0.91248,191.4
2025-01-01 13:50:00,0.92116,191.23
2025-01-01 13:55:00,0.92172,191.21
2025-01-01 14:00:00,0.93176,191.56
2025-01-01 14:05:00,0.92884,191.52
2025-01-01 14:10:00,0.92667,192.01
2025-01-01 14:15:00,0.92445,192.01
2025-01-01 14:20:00,0.91918,191.8
2025-01-01 14:25:00,0.91394,191.91
2025-01-01 14:30:00,0.91208,191.34
2025-01-01 14:35:00,0.91265,191.85
2025-01-01 14:40:00,0.9168,192.11
2025-01-01 14:45:00,0.91831,193.23
2025-01-01 14:50:00,0.91902,192.81
2025-01-01 14:55:00,0.91747,192.7
2025-01-01 15:00:00,0.92213,193.54
2025-01-01 15:05:00,0.92069,193.26
2025-01-01 15:10:00,0.92374,193.32
2025-01-01 15:15:00,0.92053,193.01
2025-01-01 15:20:00,0.92368,193.04
2025-01-01 15:25:00,0.92934,193.4
2025-01-01 15:30:00,0.92402,193.26
2025-01-01 15:35:00,0.92574,193.36
2025-01-01 15:40:00,0.92297,193.81
2025-01-01 15:45:00,0.92545,194.09
2025-01-01 15:50:00,0.92359,194.1
2025-01-01 15:55:00,0.92054,193.92
2025-01-01 16:00:00,0.92156,194.15
2025-01-01 16:05:00,0.91543,193.56
2025-01-01 16:10:00,0.9205,193.74
2025-01-01 16:15:00,0.91892,194.15
2025-01-01 16:20:00,0.9221,194.74
2025-01-01 16:25:00,0.921,194.64
