datetime,BNB/USD:Binance,XRP/USD:Binance
2025-01-01 00:00:00,704.81,2.1229
2025-01-01 00:15:00,705.99,2.1283
2025-01-01 00:30:00,705.5,2.1429
2025-01-01 00:45:00,705.58,2.1358
2025-01-01 01:00:00,705.4,2.1356
2025-01-01 01:15:00,706.4,2.1442
2025-01-01 01:30:00,705.85,2.1366
2025-01-01 01:45:00,706.59,2.1439
2025-01-01 02:00:00,705.12,2.1327
2025-01-01 02:15:00,704.24,2.1387
2025-01-01 02:30:00,703.83,2.1334
2025-01-01 02:45:00,703.75,2.1246
2025-01-01 03:00:00,703.95,2.1319
2025-01-01 03:15:00,702.93,2.1206
2025-01-01 03:30:00,703.58,2.1173
2025-01-01 03:45:00,703.06,2.1103
2025-01-01 04:00:00,703.36,2.1073
2025-01-01 04:15:00,701.79,2.0966
2025-01-01 04:30:00,701.48,2.0977
2025-01-01 04:45:00,703.73,2.1052
2025-01-01 05:00:00,703.4,2.1081
2025-01-01 05:15:00,705.36,2.1099
2025-01-01 05:30:00,706.82,2.1123
2025-01-01 05:45:00,707.23,2.109
2025-01-01 06:00:00,708.09,2.1123
2025-01-01 06:15:00,708.75,2.1312
2025-01-01 06:30:00,708.62,2.1392
2025-01-01 06:45:00,707.57,2.1357
2025-01-01 07:00:00,706.6,2.1397
2025-01-01 07:15:00,706.9,2.1604
2025-01-01 07:30:00,707.05,2.1595
2025-01-01 07:45:00,706.29,2.1679
2025-01-01 08:00:00,706.76,2.176
2025-01-01 08:15:00,709.43,2.17
2025-01-01 08:30:00,709.03,2.1617
2025-01-01 08:45:00,710.22,2.1653
2025-01-01 09:00:00,708.82,2.1806
2025-01-01 09:15:00,707.26,2.1712
2025-01-01 09:30:00,707.3,2.1677
2025-01-01 09:45:00,708.02,2.174
2025-01-01 10:00:00,707.36,2.1662
2025-01-01 10:15:00,707.11,2.1799
2025-01-01 10:30:00,707.2,2.1979
2025-01-01 10:45:00,708.11,2.2283
2025-01-01 11:00:00,706.56,2.2628
2025-01-01 11:15:00,705.5,2.2835
2025-01-01 11:30:00,704.58,2.2535
2025-01-01 11:45:00,704.99,2.2635
2025-01-01 12:00:00,703.7,2.227
2025-01-01 12:15:00,705.3,2.2308
2025-01-01 12:30:00,705.33,2.2497
2025-01-01 12:45:00,705.61,2.2596
2025-01-01 13:00:00,704.78,2.2588
2025-01-01 13:15:00,704.62,2.2754
2025-01-01 13:30:00,705.8,2.3083
2025-01-01 13:45:00,706.02,2.322
2025-01-01 14:00:00,706.33,2.3254
2025-01-01 14:15:00,706.6,2.3019
2025-01-01 14:30:00,706.5,2.3121
2025-01-01 14:45:00,707.85,2.3172
2025-01-01 15:00:00,708.61,2.3119
2025-01-01 15:15:00,708.14,2.3108
2025-01-01 15:30:00,708.16,2.3012
2025-01-01 15:45:00,708.22,2.3068
2025-01-01 16:00:00,707.89,2.3057
2025-01-01 16:15:00,707.83,2.3136
2025-01-01 16:30:00,707.15,2.3179
2025-01-01 16:45:00,707.96,2.3207
2025-01-01 17:00:00,708.49,2.3016
2025-01-01 17:15:00,707.49,2.3119
2025-01-01 17:30:00,707.37,2.3316
2025-01-01 17:45:00,707.58,2.3493
2025-01-01 18:00:00,708.39,2.3378
2025-01-01 18:15:00,707.36,2.3354
2025-01-01 18:30:00,708.18,2.3205
2025-01-01 18:45:00,707.84,2.3328
2025-01-01 19:00:00,705.68,2.3895
2025-01-01 19:15:00,701.7,2.4438
2025-01-01 19:30:00,703.57,2.4313
2025-01-01 19:45:00,702.09,2.3887
2025-01-01 20:00:00,702.47,2.3947
2025-01-01 20:15:00,702.56,2.4004
2025-01-01 20:30:00,702.76,2.4008
2025-01-01 20:45:00,701.53,2.4008
2025-01-01 21:00:00,701.52,2.3982
2025-01-01 21:15:00,700.68,2.4058
2025-01-01 21:30:00,699.7,2.4005
2025-01-01 21:45:00,702.11,2.4054
2025-01-01 22:00:00,702.1,2.4007
2025-01-01 22:15:00,703.46,2.4125
2025-01-01 22:30:00,702.89,2.4159
2025-01-01 22:45:00,702.17,2.4249
2025-01-01 23:00:00,702.12,2.415
2025-01-01 23:15:00,702.21,2.4132
2025-01-01 23:30:00,706.64,2.4132
2025-01-01 23:45:00,707.5,2.4001
2025-01-02 00:00:00,707.16,2.3907
2025-01-02 00:15:00,707.48,2.3939
2025-01-02 00:30:00,707.6,2.3926
2025-01-02 00:45:00,706.49,2.3725
2025-01-02 01:00:00,706.42,2.37
2025-01-02 01:15:00,703.65,2.3479
2025-01-02 01:30:00,704.74,2.3593
2025-01-02 01:45:00,704.88,2.3545
2025-01-02 02:00:00,706.17,2.359
2025-01-02 02:15:00,707.21,2.3508
2025-01-02 02:30:00,706.77,2.3625
2025-01-02 02:45:00,706.94,2.3672
2025-01-02 03:00:00,708.79,2.3773
2025-01-02 03:15:00,707.8,2.3825
2025-01-02 03:30:00,708.63,2.3803
2025-01-02 03:45:00,710.49,2.3788
2025-01-02 04:00:00,710.06,2.3989
2025-01-02 04:15:00,711.3,2.4008
2025-01-02 04:30:00,712.42,2.4094
2025-01-02 04:45:00,715.08,2.4005
2025-01-02 05:00:00,712.24,2.3931
