datetime,SOL/USD,BNB/USD
2025-01-01 00:00:00,189.67,704.81
2025-01-01 00:15:00,189.94,705.99
2025-01-01 00:30:00,189.94,705.5
2025-01-01 00:45:00,189.69,705.58
2025-01-01 01:00:00,189.21,705.4
2025-01-01 01:15:00,189.55,706.4
2025-01-01 01:30:00,189.74,705.85
2025-01-01 01:45:00,189.88,706.59
2025-01-01 02:00:00,189.49,705.12
2025-01-01 02:15:00,189.5,704.24
2025-01-01 02:30:00,189.81,703.83
2025-01-01 02:45:00,189.67,703.75
2025-01-01 03:00:00,190.21,703.95
2025-01-01 03:15:00,189.44,702.93
2025-01-01 03:30:00,189.55,703.58
2025-01-01 03:45:00,189.02,703.06
2025-01-01 04:00:00,188.56,703.36
2025-01-01 04:15:00,188.11,701.79
2025-01-01 04:30:00,188.11,701.48
2025-01-01 04:45:00,188.77,703.73
2025-01-01 05:00:00,189.32,703.4
2025-01-01 05:15:00,189.82,705.36
2025-01-01 05:30:00,190.31,706.82
2025-01-01 05:45:00,189.85,707.23
2025-01-01 06:00:00,190.13,708.09
2025-01-01 06:15:00,190.83,708.75
2025-01-01 06:30:00,191.28,708.62
2025-01-01 06:45:00,190.97,707.57
2025-01-01 07:00:00,190.41,706.6
2025-01-01 07:15:00,191.01,706.9
2025-01-01 07:30:00,190.82,707.05
2025-01-01 07:45:00,190.55,706.29
2025-01-01 08:00:00,189.85,706.76
2025-01-01 08:15:00,189.3,709.43
2025-01-01 08:30:00,189.58,709.03
2025-01-01 08:45:00,189.84,710.22
2025-01-01 09:00:00,190.55,708.82
2025-01-01 09:15:00,189.56,707.26
2025-01-01 09:30:00,189.75,707.3
2025-01-01 09:45:00,190.47,708.02
2025-01-01 10:00:00,189.79,707.36
2025-01-01 10:15:00,190.12,707.11
2025-01-01 10:30:00,191.1,707.2
2025-01-01 10:45:00,191.46,708.11
2025-01-01 11:00:00,190.77,706.56
2025-01-01 11:15:00,190.66,705.5
2025-01-01 11:30:00,190.14,704.58
2025-01-01 11:45:00,190.12,704.99
2025-01-01 12:00:00,189.24,703.7
2025-01-01 12:15:00,189.4,705.3
2025-01-01 12:30:00,189.64,705.33
2025-01-01 12:45:00,190.15,705.61
