datetime,SOL/USD,BTC/USD
2025-01-01 00:00:00,189.67,93425.01
2025-01-01 00:15:00,189.94,93663.13
2025-01-01 00:30:00,189.94,93639.64
2025-01-01 00:45:00,189.69,93572.8
2025-01-01 01:00:00,189.21,93387.96
2025-01-01 01:15:00,189.55,93449.87
2025-01-01 01:30:00,189.74,93507.98
2025-01-01 01:45:00,189.88,93551.21
2025-01-01 02:00:00,189.49,93471.81
2025-01-01 02:15:00,189.5,93579.13
2025-01-01 02:30:00,189.81,93537.9
2025-01-01 02:45:00,189.67,93478.85
2025-01-01 03:00:00,190.21,93534.43
2025-01-01 03:15:00,189.44,93234.17
2025-01-01 03:30:00,189.55,93297.2
2025-01-01 03:45:00,189.02,93247.38
2025-01-01 04:00:00,188.56,93141.29
2025-01-01 04:15:00,188.11,92973.47
2025-01-01 04:30:00,188.11,92906.6
2025-01-01 04:45:00,188.77,93220.42
2025-01-01 05:00:00,189.32,93185.83
2025-01-01 05:15:00,189.82,93208.43
2025-01-01 05:30:00,190.31,93198.13
2025-01-01 05:45:00,189.85,93124.74
2025-01-01 06:00:00,190.13,93127.98
2025-01-01 06:15:00,190.83,93295.44
2025-01-01 06:30:00,191.28,93388.44
2025-01-01 06:45:00,190.97,93250.79
2025-01-01 07:00:00,190.41,93242.09
2025-01-01 07:15:00,191.01,93691.67
2025-01-01 07:30:00,190.82,93593.72
2025-01-01 07:45:00,190.55,93614.93
2025-01-01 08:00:00,189.85,93442.67
2025-01-01 08:15:00,189.3,93513.82
2025-01-01 08:30:00,189.58,93578.05
2025-01-01 08:45:00,189.84,93821.32
2025-01-01 09:00:00,190.55,94039.82
2025-01-01 09:15:00,189.56,93723.36
2025-01-01 09:30:00,189.75,93775.52
2025-01-01 09:45:00,190.47,93975.58
2025-01-01 10:00:00,189.79,93780.55
2025-01-01 10:15:00,190.12,93942.95
2025-01-01 10:30:00,191.1,94040.12
2025-01-01 10:45:00,191.46,94225.28
2025-01-01 11:00:00,190.77,94068.4
2025-01-01 11:15:00,190.66,93926.42
2025-01-01 11:30:00,190.14,93805.99
2025-01-01 11:45:00,190.12,93877.71
2025-01-01 12:00:00,189.24,93645.54
2025-01-01 12:15:00,189.4,93766.85
2025-01-01 12:30:00,189.64,93815.84
2025-01-01 12:45:00,190.15,93924.21
2025-01-01 13:00:00,189.92,93799.81
2025-01-01 13:15:00,190.3,94007.42
2025-01-01 13:30:00,191.4,94056.12
2025-01-01 13:45:00,191.21,94123.99
2025-01-01 14:00:00,192.01,94136.39
2025-01-01 14:15:00,191.91,94041.94
2025-01-01 14:30:00,192.11,94201.78
2025-01-01 14:45:00,192.7,94434.89
2025-01-01 15:00:00,193.32,94508.5
2025-01-01 15:15:00,193.4,94526.54
2025-01-01 15:30:00,193.81,94538.11
2025-01-01 15:45:00,193.92,94597.57
2025-01-01 16:00:00,193.74,94579.68
2025-01-01 16:15:00,194.64,94760.23
2025-01-01 16:30:00,193.89,94598.44
2025-01-01 16:45:00,194.24,94776.87
2025-01-01 17:00:00,193.54,94642.21
2025-01-01 17:15:00,193.7,94542.25
2025-01-01 17:30:00,194.39,94750.54
2025-01-01 17:45:00,194.03,94595.96
2025-01-01 18:00:00,194.18,94647.98
2025-01-01 18:15:00,193.81,94436.44
2025-01-01 18:30:00,193.77,94514.69
2025-01-01 18:45:00,193.84,94383.59
2025-01-01 19:00:00,193.56,94320.96
2025-01-01 19:15:00,194.78,94722.41
2025-01-01 19:30:00,195.89,94902.26
2025-01-01 19:45:00,195.82,94922.02
