datetime,SOL/USD:Binance,XRP/USD:Binance
2025-01-01 00:00:00,190.11,2.1229
2025-01-01 00:15:00,190.43,2.1283
2025-01-01 00:30:00,190.38,2.1429
2025-01-01 00:45:00,190.15,2.1358
2025-01-01 01:00:00,189.64,2.1356
2025-01-01 01:15:00,189.95,2.1442
2025-01-01 01:30:00,190.17,2.1366
2025-01-01 01:45:00,190.3,2.1439
2025-01-01 02:00:00,189.91,2.1327
2025-01-01 02:15:00,189.9,2.1387
2025-01-01 02:30:00,190.22,2.1334
2025-01-01 02:45:00,190.06,2.1246
2025-01-01 03:00:00,190.6,2.1319
2025-01-01 03:15:00,189.82,2.1206
2025-01-01 03:30:00,189.92,2.1173
2025-01-01 03:45:00,189.4,2.1103
2025-01-01 04:00:00,188.94,2.1073
2025-01-01 04:15:00,188.49,2.0966
2025-01-01 04:30:00,188.49,2.0977
2025-01-01 04:45:00,189.18,2.1052
2025-01-01 05:00:00,189.74,2.1081
2025-01-01 05:15:00,190.22,2.1099
2025-01-01 05:30:00,190.7,2.1123
2025-01-01 05:45:00,190.24,2.109
2025-01-01 06:00:00,190.55,2.1123
2025-01-01 06:15:00,191.23,2.1312
2025-01-01 06:30:00,191.68,2.1392
2025-01-01 06:45:00,191.36,2.1357
2025-01-01 07:00:00,190.82,2.1397
2025-01-01 07:15:00,191.41,2.1604
2025-01-01 07:30:00,191.22,2.1595
2025-01-01 07:45:00,190.95,2.1679
2025-01-01 08:00:00,190.25,2.176
2025-01-01 08:15:00,189.69,2.17
2025-01-01 08:30:00,189.96,2.1617
2025-01-01 08:45:00,190.25,2.1653
2025-01-01 09:00:00,190.95,2.1806
2025-01-01 09:15:00,189.95,2.1712
2025-01-01 09:30:00,190.14,2.1677
2025-01-01 09:45:00,190.88,2.174
2025-01-01 10:00:00,190.2,2.1662
2025-01-01 10:15:00,190.54,2.1799
2025-01-01 10:30:00,191.51,2.1979
2025-01-01 10:45:00,191.91,2.2283
2025-01-01 11:00:00,191.17,2.2628
2025-01-01 11:15:00,191.1,2.2835
2025-01-01 11:30:00,190.54,2.2535
2025-01-01 11:45:00,190.51,2.2635
2025-01-01 12:00:00,189.73,2.227
2025-01-01 12:15:00,189.85,2.2308
2025-01-01 12:30:00,190.12,2.2497
2025-01-01 12:45:00,190.64,2.2596
2025-01-01 13:00:00,190.35,2.2588
2025-01-01 13:15:00,190.76,2.2754
2025-01-01 13:30:00,191.86,2.3083
2025-01-01 13:45:00,191.68,2.322
2025-01-01 14:00:00,192.42,2.3254
2025-01-01 14:15:00,192.37,2.3019
2025-01-01 14:30:00,192.6,2.3121
2025-01-01 14:45:00,193.1,2.3172
2025-01-01 15:00:00,193.71,2.3119
2025-01-01 15:15:00,193.77,2.3108
2025-01-01 15:30:00,194.2,2.3012
2025-01-01 15:45:00,194.36,2.3068
2025-01-01 16:00:00,194.12,2.3057
2025-01-01 16:15:00,195.07,2.3136
2025-01-01 16:30:00,194.33,2.3179
2025-01-01 16:45:00,194.69,2.3207
2025-01-01 17:00:00,193.97,2.3016
2025-01-01 17:15:00,194.11,2.3119
2025-01-01 17:30:00,194.82,2.3316
2025-01-01 17:45:00,194.53,2.3493
2025-01-01 18:00:00,194.59,2.3378
2025-01-01 18:15:00,194.24,2.3354
2025-01-01 18:30:00,194.24,2.3205
2025-01-01 18:45:00,194.28,2.3328
2025-01-01 19:00:00,194.0,2.3895
2025-01-01 19:15:00,195.17,2.4438
2025-01-01 19:30:00,196.31,2.4313
2025-01-01 19:45:00,196.25,2.3887
2025-01-01 20:00:00,197.83,2.3947
2025-01-01 20:15:00,197.03,2.4004
2025-01-01 20:30:00,197.56,2.4008
2025-01-01 20:45:00,197.71,2.4008
2025-01-01 21:00:00,198.11,2.3982
2025-01-01 21:15:00,198.7,2.4058
2025-01-01 21:30:00,198.74,2.4005
2025-01-01 21:45:00,199.41,2.4054
2025-01-01 22:00:00,198.43,2.4007
2025-01-01 22:15:00,198.65,2.4125
2025-01-01 22:30:00,197.89,2.4159
2025-01-01 22:45:00,198.54,2.4249
2025-01-01 23:00:00,199.89,2.415
2025-01-01 23:15:00,200.13,2.4132
2025-01-01 23:30:00,204.22,2.4132
2025-01-01 23:45:00,204.47,2.4001
2025-01-02 00:00:00,203.72,2.3907
2025-01-02 00:15:00,204.99,2.3939
2025-01-02 00:30:00,205.0,2.3926
2025-01-02 00:45:00,204.62,2.3725
2025-01-02 01:00:00,204.72,2.37
2025-01-02 01:15:00,204.54,2.3479
2025-01-02 01:30:00,205.27,2.3593
2025-01-02 01:45:00,205.36,2.3545
2025-01-02 02:00:00,205.99,2.359
2025-01-02 02:15:00,206.59,2.3508
2025-01-02 02:30:00,206.21,2.3625
2025-01-02 02:45:00,205.91,2.3672
2025-01-02 03:00:00,206.49,2.3773
2025-01-02 03:15:00,206.05,2.3825
2025-01-02 03:30:00,207.05,2.3803
2025-01-02 03:45:00,206.8,2.3788
2025-01-02 04:00:00,206.66,2.3989
2025-01-02 04:15:00,207.84,2.4008
2025-01-02 04:30:00,207.17,2.4094
2025-01-02 04:45:00,207.38,2.4005
2025-01-02 05:00:00,207.1,2.3931
2025-01-02 05:15:00,207.4,2.3882
2025-01-02 05:30:00,206.86,2.3975
2025-01-02 05:45:00,206.98,2.3952
2025-01-02 06:00:00,207.17,2.3968
2025-01-02 06:15:00,207.92,2.4001
2025-01-02 06:30:00,208.66,2.4094
2025-01-02 06:45:00,208.51,2.4035
2025-01-02 07:00:00,209.22,2.403
2025-01-02 07:15:00,208.08,2.4072
2025-01-02 07:30:00,208.48,2.4149
2025-01-02 07:45:00,208.39,2.4071
2025-01-02 08:00:00,208.02,2.4052
2025-01-02 08:15:00,208.29,2.4036
2025-01-02 08:30:00,208.4,2.4014
2025-01-02 08:45:00,208.17,2.3911
2025-01-02 09:00:00,207.92,2.3837
2025-01-02 09:15:00,208.73,2.389
2025-01-02 09:30:00,208.35,2.4093
2025-01-02 09:45:00,208.2,2.4076
2025-01-02 10:00:00,207.76,2.4012
2025-01-02 10:15:00,206.64,2.3904
2025-01-02 10:30:00,206.03,2.3907
2025-01-02 10:45:00,206.77,2.4042
2025-01-02 11:00:00,207.2,2.4089
2025-01-02 11:15:00,208.28,2.4098
2025-01-02 11:30:00,208.78,2.4093
2025-01-02 11:45:00,207.45,2.4189
2025-01-02 12:00:00,208.0,2.432
2025-01-02 12:15:00,207.41,2.4271
2025-01-02 12:30:00,205.88,2.3982
2025-01-02 12:45:00,206.05,2.396
2025-01-02 13:00:00,205.41,2.3972
2025-01-02 13:15:00,205.85,2.4034
2025-01-02 13:30:00,206.47,2.4058
2025-01-02 13:45:00,206.44,2.4072
2025-01-02 14:00:00,207.09,2.4039
2025-01-02 14:15:00,207.75,2.4057
2025-01-02 14:30:00,207.3,2.3981
2025-01-02 14:45:00,206.69,2.3878
2025-01-02 15:00:00,207.3,2.3941
2025-01-02 15:15:00,207.75,2.3867
2025-01-02 15:30:00,207.49,2.3738
2025-01-02 15:45:00,206.82,2.3841
2025-01-02 16:00:00,206.54,2.3765
2025-01-02 16:15:00,206.55,2.3818
2025-01-02 16:30:00,205.6,2.3837
2025-01-02 16:45:00,206.54,2.3865
2025-01-02 17:00:00,205.91,2.3925
2025-01-02 17:15:00,205.97,2.3945
2025-01-02 17:30:00,206.44,2.4051
2025-01-02 17:45:00,206.6,2.4056
2025-01-02 18:00:00,206.81,2.4003
2025-01-02 18:15:00,207.91,2.4024
2025-01-02 18:30:00,208.15,2.4085
2025-01-02 18:45:00,208.31,2.4024
2025-01-02 19:00:00,208.05,2.4124
2025-01-02 19:15:00,207.83,2.4129
2025-01-02 19:30:00,207.2,2.4108
2025-01-02 19:45:00,207.15,2.4112
2025-01-02 20:00:00,205.97,2.3987
2025-01-02 20:15:00,206.58,2.4215
2025-01-02 20:30:00,206.03,2.423
2025-01-02 20:45:00,206.86,2.4231
2025-01-02 21:00:00,207.37,2.4269
2025-01-02 21:15:00,208.09,2.4598
2025-01-02 21:30:00,207.48,2.4431
2025-01-02 21:45:00,206.87,2.4475
2025-01-02 22:00:00,206.78,2.4526
2025-01-02 22:15:00,206.33,2.4574
2025-01-02 22:30:00,207.03,2.4522
2025-01-02 22:45:00,208.05,2.468
2025-01-02 23:00:00,207.7,2.4575
2025-01-02 23:15:00,207.45,2.4498
2025-01-02 23:30:00,207.59,2.4501
2025-01-02 23:45:00,207.72,2.4428
2025-01-03 00:00:00,208.51,2.4406
2025-01-03 00:15:00,208.49,2.4291
2025-01-03 00:30:00,208.81,2.4246
2025-01-03 00:45:00,208.87,2.4301
2025-01-03 01:00:00,209.4,2.4504
2025-01-03 01:15:00,209.53,2.4444
2025-01-03 01:30:00,209.41,2.4479
2025-01-03 01:45:00,207.77,2.4444
2025-01-03 02:00:00,207.58,2.4218
2025-01-03 02:15:00,207.38,2.4136
2025-01-03 02:30:00,208.18,2.4152
2025-01-03 02:45:00,207.95,2.4152
2025-01-03 03:00:00,209.0,2.4209
2025-01-03 03:15:00,209.54,2.413
2025-01-03 03:30:00,209.75,2.4179
2025-01-03 03:45:00,209.36,2.4133
2025-01-03 04:00:00,211.92,2.4204
2025-01-03 04:15:00,211.7,2.4202
2025-01-03 04:30:00,211.03,2.4173
2025-01-03 04:45:00,211.2,2.4204
2025-01-03 05:00:00,210.57,2.415
2025-01-03 05:15:00,211.05,2.4229
2025-01-03 05:30:00,211.07,2.4166
2025-01-03 05:45:00,211.13,2.4106
2025-01-03 06:00:00,211.29,2.4128
2025-01-03 06:15:00,212.36,2.426
2025-01-03 06:30:00,212.91,2.4217
2025-01-03 06:45:00,214.51,2.4087
2025-01-03 07:00:00,214.67,2.4145
2025-01-03 07:15:00,214.25,2.4147
2025-01-03 07:30:00,213.47,2.4109
2025-01-03 07:45:00,213.4,2.4041
2025-01-03 08:00:00,213.54,2.4092
2025-01-03 08:15:00,212.33,2.4043
2025-01-03 08:30:00,213.24,2.4155
2025-01-03 08:45:00,212.92,2.4082
2025-01-03 09:00:00,214.22,2.4185
2025-01-03 09:15:00,215.38,2.4215
2025-01-03 09:30:00,218.11,2.4344
2025-01-03 09:45:00,218.3,2.4346
2025-01-03 10:00:00,217.6,2.4408
2025-01-03 10:15:00,217.24,2.4372
2025-01-03 10:30:00,217.76,2.4328
2025-01-03 10:45:00,217.36,2.4468
2025-01-03 11:00:00,217.62,2.4451
2025-01-03 11:15:00,218.27,2.4513
2025-01-03 11:30:00,219.13,2.4773
2025-01-03 11:45:00,217.7,2.4596
2025-01-03 12:00:00,217.0,2.4569
2025-01-03 12:15:00,217.26,2.4671
2025-01-03 12:30:00,217.66,2.4581
2025-01-03 12:45:00,217.39,2.4419
2025-01-03 13:00:00,217.49,2.4456
2025-01-03 13:15:00,217.91,2.4563
2025-01-03 13:30:00,218.22,2.4527
2025-01-03 13:45:00,218.12,2.4512
2025-01-03 14:00:00,218.03,2.4698
2025-01-03 14:15:00,216.77,2.4753
2025-01-03 14:30:00,216.74,2.4697
2025-01-03 14:45:00,217.1,2.4728
2025-01-03 15:00:00,216.4,2.4571
2025-01-03 15:15:00,216.63,2.4625
2025-01-03 15:30:00,216.34,2.4563
2025-01-03 15:45:00,216.05,2.4486
2025-01-03 16:00:00,216.44,2.4451
2025-01-03 16:15:00,216.79,2.4521
2025-01-03 16:30:00,216.44,2.4483
2025-01-03 16:45:00,216.34,2.4533
2025-01-03 17:00:00,216.52,2.4615
2025-01-03 17:15:00,217.05,2.4578
2025-01-03 17:30:00,217.0,2.4615
2025-01-03 17:45:00,217.06,2.4597
2025-01-03 18:00:00,217.27,2.4569
2025-01-03 18:15:00,217.62,2.4643
2025-01-03 18:30:00,217.61,2.4562
2025-01-03 18:45:00,217.99,2.4547
2025-01-03 19:00:00,217.38,2.4585
2025-01-03 19:15:00,217.81,2.4545
2025-01-03 19:30:00,217.26,2.4355
