datetime,BTC/USD,SOL/USD
2025-01-01 00:00:00,93425.01,189.67
2025-01-01 00:15:00,93663.13,189.94
2025-01-01 00:30:00,93639.64,189.94
2025-01-01 00:45:00,93572.8,189.69
2025-01-01 01:00:00,93387.96,189.21
2025-01-01 01:15:00,93449.87,189.55
2025-01-01 01:30:00,93507.98,189.74
2025-01-01 01:45:00,93551.21,189.88
2025-01-01 02:00:00,93471.81,189.49
2025-01-01 02:15:00,93579.13,189.5
2025-01-01 02:30:00,93537.9,189.81
2025-01-01 02:45:00,93478.85,189.67
2025-01-01 03:00:00,93534.43,190.21
2025-01-01 03:15:00,93234.17,189.44
2025-01-01 03:30:00,93297.2,189.55
2025-01-01 03:45:00,93247.38,189.02
2025-01-01 04:00:00,93141.29,188.56
2025-01-01 04:15:00,92973.47,188.11
2025-01-01 04:30:00,92906.6,188.11
2025-01-01 04:45:00,93220.42,188.77
2025-01-01 05:00:00,93185.83,189.32
2025-01-01 05:15:00,93208.43,189.82
2025-01-01 05:30:00,93198.13,190.31
2025-01-01 05:45:00,93124.74,189.85
2025-01-01 06:00:00,93127.98,190.13
2025-01-01 06:15:00,93295.44,190.83
2025-01-01 06:30:00,93388.44,191.28
2025-01-01 06:45:00,93250.79,190.97
2025-01-01 07:00:00,93242.09,190.41
2025-01-01 07:15:00,93691.67,191.01
2025-01-01 07:30:00,93593.72,190.82
2025-01-01 07:45:00,93614.93,190.55
2025-01-01 08:00:00,93442.67,189.85
2025-01-01 08:15:00,93513.82,189.3
2025-01-01 08:30:00,93578.05,189.58
2025-01-01 08:45:00,93821.32,189.84
2025-01-01 09:00:00,94039.82,190.55
2025-01-01 09:15:00,93723.36,189.56
2025-01-01 09:30:00,93775.52,189.75
2025-01-01 09:45:00,93975.58,190.47
2025-01-01 10:00:00,93780.55,189.79
2025-01-01 10:15:00,93942.95,190.12
2025-01-01 10:30:00,94040.12,191.1
2025-01-01 10:45:00,94225.28,191.46
2025-01-01 11:00:00,94068.4,190.77
2025-01-01 11:15:00,93926.42,190.66
2025-01-01 11:30:00,93805.99,190.14
2025-01-01 11:45:00,93877.71,190.12
2025-01-01 12:00:00,93645.54,189.24
2025-01-01 12:15:00,93766.85,189.4
2025-01-01 12:30:00,93815.84,189.64
2025-01-01 12:45:00,93924.21,190.15
2025-01-01 13:00:00,93799.81,189.92
2025-01-01 13:15:00,94007.42,190.3
2025-01-01 13:30:00,94056.12,191.4
2025-01-01 13:45:00,94123.99,191.21
2025-01-01 14:00:00,94136.39,192.01
2025-01-01 14:15:00,94041.94,191.91
2025-01-01 14:30:00,94201.78,192.11
2025-01-01 14:45:00,94434.89,192.7
2025-01-01 15:00:00,94508.5,193.32
2025-01-01 15:15:00,94526.54,193.4
2025-01-01 15:30:00,94538.11,193.81
2025-01-01 15:45:00,94597.57,193.92
2025-01-01 16:00:00,94579.68,193.74
2025-01-01 16:15:00,94760.23,194.64
2025-01-01 16:30:00,94598.44,193.89
2025-01-01 16:45:00,94776.87,194.24
2025-01-01 17:00:00,94642.21,193.54
2025-01-01 17:15:00,94542.25,193.7
2025-01-01 17:30:00,94750.54,194.39
2025-01-01 17:45:00,94595.96,194.03
2025-01-01 18:00:00,94647.98,194.18
2025-01-01 18:15:00,94436.44,193.81
2025-01-01 18:30:00,94514.69,193.77
2025-01-01 18:45:00,94383.59,193.84
2025-01-01 19:00:00,94320.96,193.56
2025-01-01 19:15:00,94722.41,194.78
2025-01-01 19:30:00,94902.26,195.89
2025-01-01 19:45:00,94922.02,195.82
2025-01-01 20:00:00,95146.83,197.42
2025-01-01 20:15:00,94888.09,196.63
2025-01-01 20:30:00,94808.48,197.17
2025-01-01 20:45:00,94676.65,197.33
2025-01-01 21:00:00,94829.45,197.74
2025-01-01 21:15:00,94836.71,198.3
2025-01-01 21:30:00,94835.09,198.37
2025-01-01 21:45:00,95051.34,199.0
2025-01-01 22:00:00,94824.3,198.04
2025-01-01 22:15:00,94882.56,198.28
2025-01-01 22:30:00,94742.29,197.54
2025-01-01 22:45:00,94827.25,198.16
2025-01-01 23:00:00,94972.34,199.5
2025-01-01 23:15:00,94991.51,199.74
2025-01-01 23:30:00,95627.21,203.81
2025-01-01 23:45:00,95532.47,204.09
2025-01-02 00:00:00,95287.93,203.36
2025-01-02 00:15:00,95570.64,204.59
2025-01-02 00:30:00,95596.64,204.61
2025-01-02 00:45:00,95415.55,204.24
2025-01-02 01:00:00,95365.06,204.29
2025-01-02 01:15:00,95289.25,204.14
2025-01-02 01:30:00,95360.79,204.84
2025-01-02 01:45:00,95428.76,205.02
2025-01-02 02:00:00,95559.9,205.65
2025-01-02 02:15:00,95631.53,206.29
2025-01-02 02:30:00,95697.76,205.89
2025-01-02 02:45:00,95691.24,205.61
2025-01-02 03:00:00,95825.34,206.2
2025-01-02 03:15:00,95588.74,205.76
2025-01-02 03:30:00,95804.5,206.73
2025-01-02 03:45:00,95999.88,206.52
2025-01-02 04:00:00,96057.1,206.36
2025-01-02 04:15:00,96259.14,207.53
2025-01-02 04:30:00,96222.37,206.86
2025-01-02 04:45:00,96628.99,207.13
2025-01-02 05:00:00,96492.56,206.86
2025-01-02 05:15:00,96588.26,207.19
2025-01-02 05:30:00,96503.55,206.61
2025-01-02 05:45:00,96607.44,206.76
2025-01-02 06:00:00,96656.82,206.94
2025-01-02 06:15:00,96440.7,207.67
2025-01-02 06:30:00,96587.87,208.4
2025-01-02 06:45:00,96630.67,208.32
2025-01-02 07:00:00,96698.12,209.02
2025-01-02 07:15:00,96656.38,207.9
2025-01-02 07:30:00,96580.65,208.22
2025-01-02 07:45:00,96754.56,208.12
2025-01-02 08:00:00,96665.08,207.81
2025-01-02 08:15:00,96661.85,208.06
2025-01-02 08:30:00,96559.64,208.17
2025-01-02 08:45:00,96358.68,207.95
2025-01-02 09:00:00,96266.92,207.71
2025-01-02 09:15:00,96391.89,208.5
2025-01-02 09:30:00,96725.35,208.13
2025-01-02 09:45:00,97183.21,208.02
2025-01-02 10:00:00,96953.76,207.58
2025-01-02 10:15:00,96576.02,206.48
2025-01-02 10:30:00,96248.91,205.82
2025-01-02 10:45:00,96362.35,206.54
2025-01-02 11:00:00,96567.09,207.0
2025-01-02 11:15:00,97307.54,208.09
2025-01-02 11:30:00,97371.62,208.62
2025-01-02 11:45:00,97167.0,207.27
2025-01-02 12:00:00,97460.71,207.82
2025-01-02 12:15:00,97022.97,207.23
2025-01-02 12:30:00,96583.32,205.73
2025-01-02 12:45:00,96665.63,205.86
2025-01-02 13:00:00,96755.41,205.28
2025-01-02 13:15:00,96815.41,205.66
2025-01-02 13:30:00,97001.87,206.28
2025-01-02 13:45:00,97236.28,206.27
2025-01-02 14:00:00,97395.16,206.91
2025-01-02 14:15:00,97497.53,207.55
2025-01-02 14:30:00,97342.19,207.13
2025-01-02 14:45:00,97224.83,206.49
2025-01-02 15:00:00,97690.02,207.1
2025-01-02 15:15:00,97511.77,207.58
2025-01-02 15:30:00,97373.0,207.31
2025-01-02 15:45:00,97209.38,206.61
2025-01-02 16:00:00,97104.69,206.34
2025-01-02 16:15:00,97017.49,206.34
2025-01-02 16:30:00,97114.86,205.38
2025-01-02 16:45:00,97107.8,206.34
2025-01-02 17:00:00,96903.64,205.69
2025-01-02 17:15:00,96804.28,205.78
2025-01-02 17:30:00,96822.46,206.21
2025-01-02 17:45:00,96799.84,206.39
2025-01-02 18:00:00,96755.54,206.61
2025-01-02 18:15:00,96887.09,207.7
2025-01-02 18:30:00,96898.87,207.94
2025-01-02 18:45:00,96903.19,208.09
2025-01-02 19:00:00,96848.66,207.86
2025-01-02 19:15:00,96927.74,207.63
2025-01-02 19:30:00,96816.99,207.01
2025-01-02 19:45:00,96745.67,206.94
2025-01-02 20:00:00,96641.09,205.78
2025-01-02 20:15:00,96808.19,206.39
2025-01-02 20:30:00,96655.1,205.82
2025-01-02 20:45:00,96889.05,206.64
2025-01-02 21:00:00,97002.44,207.15
2025-01-02 21:15:00,97175.41,207.89
2025-01-02 21:30:00,96993.57,207.24
2025-01-02 21:45:00,96886.48,206.69
2025-01-02 22:00:00,96893.95,206.61
2025-01-02 22:15:00,96853.64,206.14
2025-01-02 22:30:00,96850.65,206.81
2025-01-02 22:45:00,96970.54,207.84
2025-01-02 23:00:00,96890.14,207.51
2025-01-02 23:15:00,96841.87,207.23
2025-01-02 23:30:00,96820.35,207.39
2025-01-02 23:45:00,96735.71,207.55
2025-01-03 00:00:00,96691.52,208.35
2025-01-03 00:15:00,96610.0,208.31
2025-01-03 00:30:00,96671.57,208.62
2025-01-03 00:45:00,96677.58,208.69
2025-01-03 01:00:00,96795.16,209.2
2025-01-03 01:15:00,96596.66,209.37
2025-01-03 01:30:00,96599.72,209.25
2025-01-03 01:45:00,96467.96,207.52
2025-01-03 02:00:00,96472.56,207.42
2025-01-03 02:15:00,96380.67,207.22
2025-01-03 02:30:00,96320.53,207.99
2025-01-03 02:45:00,96232.47,207.79
2025-01-03 03:00:00,96386.45,208.78
2025-01-03 03:15:00,96268.57,209.36
2025-01-03 03:30:00,96193.14,209.6
2025-01-03 03:45:00,96044.07,209.16
2025-01-03 04:00:00,96257.12,211.69
2025-01-03 04:15:00,96385.71,211.51
2025-01-03 04:30:00,96548.26,210.84
2025-01-03 04:45:00,96467.56,211.0
2025-01-03 05:00:00,96358.06,210.37
2025-01-03 05:15:00,96463.0,210.88
2025-01-03 05:30:00,96409.41,210.88
2025-01-03 05:45:00,96411.54,210.98
2025-01-03 06:00:00,96441.11,211.15
2025-01-03 06:15:00,96677.53,212.23
2025-01-03 06:30:00,96617.02,212.77
2025-01-03 06:45:00,96679.43,214.33
2025-01-03 07:00:00,96779.29,214.46
2025-01-03 07:15:00,96826.49,214.1
2025-01-03 07:30:00,96643.78,213.33
2025-01-03 07:45:00,96585.53,213.23
2025-01-03 08:00:00,96546.59,213.36
2025-01-03 08:15:00,96466.45,212.17
2025-01-03 08:30:00,96543.51,213.04
2025-01-03 08:45:00,96430.55,212.69
2025-01-03 09:00:00,96700.71,214.07
2025-01-03 09:15:00,97005.88,215.22
2025-01-03 09:30:00,97198.91,217.99
2025-01-03 09:45:00,96957.36,218.11
2025-01-03 10:00:00,97093.89,217.46
2025-01-03 10:15:00,97193.8,217.08
2025-01-03 10:30:00,97374.97,217.55
2025-01-03 10:45:00,97464.8,217.23
2025-01-03 11:00:00,97564.35,217.46
2025-01-03 11:15:00,98020.56,218.13
2025-01-03 11:30:00,98084.16,218.99
2025-01-03 11:45:00,97804.66,217.56
2025-01-03 12:00:00,97851.3,216.83
2025-01-03 12:15:00,98099.77,217.11
2025-01-03 12:30:00,98148.85,217.48
2025-01-03 12:45:00,97971.45,217.24
2025-01-03 13:00:00,98257.91,217.33
2025-01-03 13:15:00,98412.76,217.76
2025-01-03 13:30:00,98380.41,218.1
2025-01-03 13:45:00,98490.05,218.0
2025-01-03 14:00:00,98877.35,217.91
2025-01-03 14:15:00,98681.17,216.64
2025-01-03 14:30:00,98678.31,216.66
2025-01-03 14:45:00,98562.77,217.0
2025-01-03 15:00:00,98466.47,216.31
2025-01-03 15:15:00,98591.42,216.53
2025-01-03 15:30:00,98430.02,216.27
2025-01-03 15:45:00,98300.02,216.0
2025-01-03 16:00:00,98163.81,216.36
2025-01-03 16:15:00,98241.63,216.69
2025-01-03 16:30:00,98303.14,216.36
2025-01-03 16:45:00,98234.45,216.25
2025-01-03 17:00:00,98338.97,216.42
2025-01-03 17:15:00,98436.15,216.97
2025-01-03 17:30:00,98368.76,216.92
2025-01-03 17:45:00,98269.15,216.97
2025-01-03 18:00:00,98229.01,217.17
2025-01-03 18:15:00,98049.68,217.51
2025-01-03 18:30:00,98121.75,217.51
2025-01-03 18:45:00,98136.51,217.93
2025-01-03 19:00:00,98070.0,217.28
2025-01-03 19:15:00,98044.71,217.71
2025-01-03 19:30:00,97952.18,217.19
2025-01-03 19:45:00,97919.27,216.95
2025-01-03 20:00:00,97854.67,216.26
2025-01-03 20:15:00,97928.97,217.77
2025-01-03 20:30:00,98021.94,217.51
2025-01-03 20:45:00,97989.74,217.29
2025-01-03 21:00:00,97874.88,216.64
2025-01-03 21:15:00,97858.15,216.41
2025-01-03 21:30:00,98108.81,217.12
2025-01-03 21:45:00,98268.34,217.37
2025-01-03 22:00:00,98120.76,216.19
2025-01-03 22:15:00,98044.59,216.39
2025-01-03 22:30:00,98212.7,216.58
2025-01-03 22:45:00,98162.98,216.91
2025-01-03 23:00:00,97897.33,215.93
2025-01-03 23:15:00,97905.69,215.9
2025-01-03 23:30:00,97966.03,216.15
2025-01-03 23:45:00,97957.84,216.77
2025-01-04 00:00:00,97993.67,216.7
2025-01-04 00:15:00,98101.08,217.13
2025-01-04 00:30:00,98142.37,217.0
2025-01-04 00:45:00,98092.44,217.16
2025-01-04 01:00:00,98021.48,216.93
2025-01-04 01:15:00,98029.19,217.73
2025-01-04 01:30:00,98013.29,217.49
2025-01-04 01:45:00,98085.7,217.54
2025-01-04 02:00:00,98198.88,217.5
2025-01-04 02:15:00,98151.46,217.24
2025-01-04 02:30:00,98257.46,217.14
2025-01-04 02:45:00,98240.53,216.66
2025-01-04 03:00:00,98219.99,216.37
2025-01-04 03:15:00,98156.2,215.92
2025-01-04 03:30:00,98110.06,215.64
2025-01-04 03:45:00,97886.86,215.62
2025-01-04 04:00:00,97818.71,215.87
2025-01-04 04:15:00,97843.34,216.1
2025-01-04 04:30:00,97765.03,215.93
2025-01-04 04:45:00,97653.51,215.76
2025-01-04 05:00:00,97688.54,214.88
2025-01-04 05:15:00,97708.92,214.98
2025-01-04 05:30:00,97796.1,215.58
2025-01-04 05:45:00,97759.33,215.61
2025-01-04 06:00:00,97748.89,215.88
2025-01-04 06:15:00,97731.1,215.84
2025-01-04 06:30:00,97814.77,216.25
2025-01-04 06:45:00,97855.09,216.37
2025-01-04 07:00:00,97815.03,216.24
2025-01-04 07:15:00,97880.4,216.6
2025-01-04 07:30:00,97822.93,216.68
2025-01-04 07:45:00,97858.41,216.97
2025-01-04 08:00:00,97868.01,217.2
2025-01-04 08:15:00,97822.27,216.99
2025-01-04 08:30:00,97860.46,216.64
2025-01-04 08:45:00,97948.8,216.97
2025-01-04 09:00:00,97847.07,216.3
2025-01-04 09:15:00,97972.96,216.33
2025-01-04 09:30:00,98041.58,215.92
2025-01-04 09:45:00,98020.04,215.85
2025-01-04 10:00:00,97982.21,215.71
2025-01-04 10:15:00,97824.35,215.18
2025-01-04 10:30:00,97635.19,213.73
2025-01-04 10:45:00,97649.43,214.29
2025-01-04 11:00:00,97772.54,214.39
2025-01-04 11:15:00,97690.73,214.32
2025-01-04 11:30:00,97629.68,214.08
2025-01-04 11:45:00,97700.74,214.36
2025-01-04 12:00:00,97771.03,214.77
2025-01-04 12:15:00,97772.15,215.06
2025-01-04 12:30:00,97875.06,215.25
2025-01-04 12:45:00,98006.89,215.71
2025-01-04 13:00:00,98055.92,215.43
2025-01-04 13:15:00,98046.67,215.48
2025-01-04 13:30:00,98041.86,215.93
2025-01-04 13:45:00,97948.21,215.5
2025-01-04 14:00:00,98127.4,215.41
2025-01-04 14:15:00,98154.14,215.46
2025-01-04 14:30:00,98135.5,215.26
2025-01-04 14:45:00,98156.45,215.56
2025-01-04 15:00:00,98286.98,215.6
2025-01-04 15:15:00,98444.47,215.63
2025-01-04 15:30:00,98527.69,216.03
2025-01-04 15:45:00,98590.39,216.39
2025-01-04 16:00:00,98535.72,216.03
2025-01-04 16:15:00,98509.12,216.19
2025-01-04 16:30:00,98367.79,216.08
2025-01-04 16:45:00,98355.36,216.02
2025-01-04 17:00:00,98327.37,215.82
2025-01-04 17:15:00,98252.13,216.24
2025-01-04 17:30:00,98391.52,216.25
2025-01-04 17:45:00,98399.1,217.16
2025-01-04 18:00:00,98166.32,216.99
2025-01-04 18:15:00,98210.87,216.72
2025-01-04 18:30:00,98203.47,216.61
2025-01-04 18:45:00,98209.85,216.64
2025-01-04 19:00:00,98263.91,216.96
2025-01-04 19:15:00,98265.17,217.01
2025-01-04 19:30:00,98245.16,217.22
2025-01-04 19:45:00,98203.82,217.01
2025-01-04 20:00:00,98269.52,216.7
2025-01-04 20:15:00,98191.78,216.57
2025-01-04 20:30:00,98144.56,215.88
2025-01-04 20:45:00,98114.97,215.69
2025-01-04 21:00:00,98175.96,216.14
2025-01-04 21:15:00,98165.61,215.89
2025-01-04 21:30:00,98135.4,217.04
2025-01-04 21:45:00,98207.94,217.02
2025-01-04 22:00:00,98152.06,216.93
2025-01-04 22:15:00,98137.15,217.51
2025-01-04 22:30:00,98074.61,218.06
2025-01-04 22:45:00,98161.13,217.92
2025-01-04 23:00:00,98223.67,218.11
2025-01-04 23:15:00,98461.78,218.65
2025-01-04 23:30:00,98358.38,218.35
2025-01-04 23:45:00,98329.0,217.93
2025-01-05 00:00:00,98297.42,217.55
2025-01-05 00:15:00,98407.71,217.01
2025-01-05 00:30:00,98342.57,216.73
2025-01-05 00:45:00,98334.9,216.39
2025-01-05 01:00:00,98289.41,216.37
2025-01-05 01:15:00,98348.73,216.65
2025-01-05 01:30:00,98371.42,216.74
2025-01-05 01:45:00,98430.25,216.57
2025-01-05 02:00:00,98355.16,216.21
2025-01-05 02:15:00,98311.97,216.51
2025-01-05 02:30:00,98321.68,216.66
2025-01-05 02:45:00,98247.84,216.43
2025-01-05 03:00:00,97938.97,215.25
2025-01-05 03:15:00,97881.67,215.22
2025-01-05 03:30:00,97862.0,215.32
2025-01-05 03:45:00,97840.84,215.1
2025-01-05 04:00:00,97882.78,214.86
2025-01-05 04:15:00,97784.02,214.31
2025-01-05 04:30:00,97885.14,214.28
2025-01-05 04:45:00,97631.76,213.14
2025-01-05 05:00:00,97693.97,213.54
2025-01-05 05:15:00,97568.49,213.4
2025-01-05 05:30:00,97660.94,213.69
