datetime,ADA/USD,SOL/USD
2025-01-01 00:00:00,0.85321,189.67
2025-01-01 00:15:00,0.85639,189.94
2025-01-01 00:30:00,0.85737,189.94
2025-01-01 00:45:00,0.85609,189.69
2025-01-01 01:00:00,0.85525,189.21
2025-01-01 01:15:00,0.85694,189.55
2025-01-01 01:30:00,0.85518,189.74
2025-01-01 01:45:00,0.85728,189.88
2025-01-01 02:00:00,0.85823,189.49
2025-01-01 02:15:00,0.85806,189.5
2025-01-01 02:30:00,0.85519,189.81
2025-01-01 02:45:00,0.85187,189.67
2025-01-01 03:00:00,0.85313,190.21
2025-01-01 03:15:00,0.84989,189.44
2025-01-01 03:30:00,0.84899,189.55
2025-01-01 03:45:00,0.84658,189.02
2025-01-01 04:00:00,0.84574,188.56
2025-01-01 04:15:00,0.84268,188.11
2025-01-01 04:30:00,0.8427,188.11
2025-01-01 04:45:00,0.84614,188.77
2025-01-01 05:00:00,0.84673,189.32
2025-01-01 05:15:00,0.84539,189.82
2025-01-01 05:30:00,0.84675,190.31
2025-01-01 05:45:00,0.8442,189.85
2025-01-01 06:00:00,0.84396,190.13
2025-01-01 06:15:00,0.84988,190.83
2025-01-01 06:30:00,0.85374,191.28
2025-01-01 06:45:00,0.8531,190.97
2025-01-01 07:00:00,0.85544,190.41
2025-01-01 07:15:00,0.86145,191.01
2025-01-01 07:30:00,0.86379,190.82
2025-01-01 07:45:00,0.86559,190.55
2025-01-01 08:00:00,0.86693,189.85
2025-01-01 08:15:00,0.86437,189.3
2025-01-01 08:30:00,0.86327,189.58
2025-01-01 08:45:00,0.86502,189.84
2025-01-01 09:00:00,0.86735,190.55
2025-01-01 09:15:00,0.86332,189.56
2025-01-01 09:30:00,0.86185,189.75
2025-01-01 09:45:00,0.86462,190.47
2025-01-01 10:00:00,0.86281,189.79
2025-01-01 10:15:00,0.86604,190.12
2025-01-01 10:30:00,0.87005,191.1
2025-01-01 10:45:00,0.87701,191.46
2025-01-01 11:00:00,0.88975,190.77
2025-01-01 11:15:00,0.89123,190.66
2025-01-01 11:30:00,0.88015,190.14
2025-01-01 11:45:00,0.88931,190.12
2025-01-01 12:00:00,0.88092,189.24
2025-01-01 12:15:00,0.88185,189.4
2025-01-01 12:30:00,0.88677,189.64
2025-01-01 12:45:00,0.88881,190.15
2025-01-01 13:00:00,0.88515,189.92
2025-01-01 13:15:00,0.89271,190.3
2025-01-01 13:30:00,0.90589,191.4
2025-01-01 13:45:00,0.92172,191.21
2025-01-01 14:00:00,0.92667,192.01
2025-01-01 14:15:00,0.91394,191.91
2025-01-01 14:30:00,0.9168,192.11
2025-01-01 14:45:00,0.91747,192.7
2025-01-01 15:00:00,0.92374,193.32
2025-01-01 15:15:00,0.92934,193.4
2025-01-01 15:30:00,0.92297,193.81
2025-01-01 15:45:00,0.92054,193.92
2025-01-01 16:00:00,0.9205,193.74
2025-01-01 16:15:00,0.921,194.64
2025-01-01 16:30:00,0.91704,193.89
2025-01-01 16:45:00,0.9189,194.24
2025-01-01 17:00:00,0.91676,193.54
2025-01-01 17:15:00,0.91507,193.7
2025-01-01 17:30:00,0.92093,194.39
2025-01-01 17:45:00,0.92123,194.03
2025-01-01 18:00:00,0.919,194.18
2025-01-01 18:15:00,0.91659,193.81
2025-01-01 18:30:00,0.91556,193.77
2025-01-01 18:45:00,0.92227,193.84
2025-01-01 19:00:00,0.93399,193.56
2025-01-01 19:15:00,0.94807,194.78
2025-01-01 19:30:00,0.95206,195.89
2025-01-01 19:45:00,0.94562,195.82
2025-01-01 20:00:00,0.94824,197.42
2025-01-01 20:15:00,0.95178,196.63
2025-01-01 20:30:00,0.95504,197.17
2025-01-01 20:45:00,0.94651,197.33
2025-01-01 21:00:00,0.94223,197.74
2025-01-01 21:15:00,0.94288,198.3
2025-01-01 21:30:00,0.9404,198.37
2025-01-01 21:45:00,0.94204,199.0
2025-01-01 22:00:00,0.9401,198.04
2025-01-01 22:15:00,0.9429,198.28
2025-01-01 22:30:00,0.94193,197.54
2025-01-01 22:45:00,0.94196,198.16
2025-01-01 23:00:00,0.94028,199.5
2025-01-01 23:15:00,0.936,199.74
2025-01-01 23:30:00,0.9448,203.81
2025-01-01 23:45:00,0.9442,204.09
2025-01-02 00:00:00,0.94021,203.36
2025-01-02 00:15:00,0.93721,204.59
2025-01-02 00:30:00,0.93848,204.61
2025-01-02 00:45:00,0.93252,204.24
2025-01-02 01:00:00,0.92974,204.29
2025-01-02 01:15:00,0.92559,204.14
2025-01-02 01:30:00,0.92804,204.84
2025-01-02 01:45:00,0.92718,205.02
2025-01-02 02:00:00,0.93028,205.65
2025-01-02 02:15:00,0.93059,206.29
2025-01-02 02:30:00,0.933,205.89
2025-01-02 02:45:00,0.93364,205.61
2025-01-02 03:00:00,0.93454,206.2
2025-01-02 03:15:00,0.93163,205.76
2025-01-02 03:30:00,0.93183,206.73
2025-01-02 03:45:00,0.936,206.52
2025-01-02 04:00:00,0.93796,206.36
2025-01-02 04:15:00,0.94418,207.53
2025-01-02 04:30:00,0.94693,206.86
2025-01-02 04:45:00,0.94881,207.13
2025-01-02 05:00:00,0.94949,206.86
2025-01-02 05:15:00,0.95194,207.19
2025-01-02 05:30:00,0.96169,206.61
2025-01-02 05:45:00,0.96653,206.76
2025-01-02 06:00:00,0.96014,206.94
2025-01-02 06:15:00,0.9616,207.67
2025-01-02 06:30:00,0.96762,208.4
2025-01-02 06:45:00,0.9709,208.32
2025-01-02 07:00:00,0.97925,209.02
2025-01-02 07:15:00,0.97492,207.9
2025-01-02 07:30:00,0.97102,208.22
2025-01-02 07:45:00,0.97318,208.12
2025-01-02 08:00:00,0.96705,207.81
2025-01-02 08:15:00,0.96681,208.06
2025-01-02 08:30:00,0.96481,208.17
2025-01-02 08:45:00,0.9636,207.95
2025-01-02 09:00:00,0.95836,207.71
2025-01-02 09:15:00,0.96264,208.5
2025-01-02 09:30:00,0.96404,208.13
2025-01-02 09:45:00,0.96491,208.02
2025-01-02 10:00:00,0.96037,207.58
2025-01-02 10:15:00,0.95359,206.48
2025-01-02 10:30:00,0.952,205.82
2025-01-02 10:45:00,0.95482,206.54
2025-01-02 11:00:00,0.9555,207.0
2025-01-02 11:15:00,0.96344,208.09
2025-01-02 11:30:00,0.9639,208.62
2025-01-02 11:45:00,0.96127,207.27
2025-01-02 12:00:00,0.96361,207.82
2025-01-02 12:15:00,0.95941,207.23
2025-01-02 12:30:00,0.9495,205.73
2025-01-02 12:45:00,0.95282,205.86
2025-01-02 13:00:00,0.95434,205.28
2025-01-02 13:15:00,0.9576,205.66
2025-01-02 13:30:00,0.95788,206.28
2025-01-02 13:45:00,0.96143,206.27
2025-01-02 14:00:00,0.96044,206.91
2025-01-02 14:15:00,0.96065,207.55
2025-01-02 14:30:00,0.95752,207.13
2025-01-02 14:45:00,0.95702,206.49
2025-01-02 15:00:00,0.96303,207.1
2025-01-02 15:15:00,0.96167,207.58
2025-01-02 15:30:00,0.95578,207.31
2025-01-02 15:45:00,0.96017,206.61
2025-01-02 16:00:00,0.95785,206.34
2025-01-02 16:15:00,0.9639,206.34
2025-01-02 16:30:00,0.96367,205.38
2025-01-02 16:45:00,0.96603,206.34
2025-01-02 17:00:00,0.96231,205.69
2025-01-02 17:15:00,0.96243,205.78
2025-01-02 17:30:00,0.96403,206.21
2025-01-02 17:45:00,0.96215,206.39
2025-01-02 18:00:00,0.95932,206.61
2025-01-02 18:15:00,0.96232,207.7
2025-01-02 18:30:00,0.96458,207.94
2025-01-02 18:45:00,0.96129,208.09
2025-01-02 19:00:00,0.96761,207.86
2025-01-02 19:15:00,0.9681,207.63
2025-01-02 19:30:00,0.96735,207.01
2025-01-02 19:45:00,0.96293,206.94
2025-01-02 20:00:00,0.95834,205.78
2025-01-02 20:15:00,0.96845,206.39
2025-01-02 20:30:00,0.97218,205.82
2025-01-02 20:45:00,0.97459,206.64
2025-01-02 21:00:00,0.98041,207.15
2025-01-02 21:15:00,0.99545,207.89
2025-01-02 21:30:00,0.98883,207.24
2025-01-02 21:45:00,0.98785,206.69
2025-01-02 22:00:00,0.99359,206.61
2025-01-02 22:15:00,0.99464,206.14
2025-01-02 22:30:00,0.999,206.81
2025-01-02 22:45:00,1.02674,207.84
2025-01-02 23:00:00,1.01839,207.51
2025-01-02 23:15:00,1.01353,207.23
2025-01-02 23:30:00,1.01595,207.39
2025-01-02 23:45:00,1.01485,207.55
2025-01-03 00:00:00,1.01832,208.35
2025-01-03 00:15:00,1.0115,208.31
2025-01-03 00:30:00,1.01517,208.62
2025-01-03 00:45:00,1.02122,208.69
2025-01-03 01:00:00,1.03417,209.2
2025-01-03 01:15:00,1.03085,209.37
2025-01-03 01:30:00,1.03295,209.25
2025-01-03 01:45:00,1.03971,207.52
