datetime,BNB/USD:Binance,ETH/USD:Binance
2025-01-01 00:00:00,704.81,3346.8
2025-01-01 00:15:00,705.99,3350.01
2025-01-01 00:30:00,705.5,3348.09
2025-01-01 00:45:00,705.58,3345.41
2025-01-01 01:00:00,705.4,3341.49
2025-01-01 01:15:00,706.4,3344.0
2025-01-01 01:30:00,705.85,3344.48
2025-01-01 01:45:00,706.59,3346.6
2025-01-01 02:00:00,705.12,3341.26
2025-01-01 02:15:00,704.24,3341.59
2025-01-01 02:30:00,703.83,3344.02
2025-01-01 02:45:00,703.75,3347.12
2025-01-01 03:00:00,703.95,3347.23
2025-01-01 03:15:00,702.93,3337.85
2025-01-01 03:30:00,703.58,3339.69
2025-01-01 03:45:00,703.06,3337.01
2025-01-01 04:00:00,703.36,3334.29
2025-01-01 04:15:00,701.79,3322.34
2025-01-01 04:30:00,701.48,3327.16
2025-01-01 04:45:00,703.73,3334.64
2025-01-01 05:00:00,703.4,3330.1
2025-01-01 05:15:00,705.36,3332.96
2025-01-01 05:30:00,706.82,3330.92
2025-01-01 05:45:00,707.23,3326.69
2025-01-01 06:00:00,708.09,3329.52
2025-01-01 06:15:00,708.75,3335.6
2025-01-01 06:30:00,708.62,3342.75
2025-01-01 06:45:00,707.57,3341.0
2025-01-01 07:00:00,706.6,3341.82
2025-01-01 07:15:00,706.9,3350.75
2025-01-01 07:30:00,707.05,3347.62
2025-01-01 07:45:00,706.29,3347.46
2025-01-01 08:00:00,706.76,3338.83
2025-01-01 08:15:00,709.43,3336.29
2025-01-01 08:30:00,709.03,3337.28
2025-01-01 08:45:00,710.22,3343.37
2025-01-01 09:00:00,708.82,3348.51
2025-01-01 09:15:00,707.26,3337.58
2025-01-01 09:30:00,707.3,3338.94
2025-01-01 09:45:00,708.02,3345.86
2025-01-01 10:00:00,707.36,3337.29
2025-01-01 10:15:00,707.11,3338.8
2025-01-01 10:30:00,707.2,3347.33
2025-01-01 10:45:00,708.11,3352.93
2025-01-01 11:00:00,706.56,3347.72
2025-01-01 11:15:00,705.5,3345.07
2025-01-01 11:30:00,704.58,3336.32
2025-01-01 11:45:00,704.99,3338.68
2025-01-01 12:00:00,703.7,3330.82
2025-01-01 12:15:00,705.3,3334.01
2025-01-01 12:30:00,705.33,3337.67
2025-01-01 12:45:00,705.61,3343.7
2025-01-01 13:00:00,704.78,3334.51
2025-01-01 13:15:00,704.62,3338.82
2025-01-01 13:30:00,705.8,3348.34
2025-01-01 13:45:00,706.02,3348.57
