datetime,SOL/USD:Binance,BNB/USD:Binance
2025-01-01 00:00:00,190.11,704.81
2025-01-01 00:15:00,190.43,705.99
2025-01-01 00:30:00,190.38,705.5
2025-01-01 00:45:00,190.15,705.58
2025-01-01 01:00:00,189.64,705.4
2025-01-01 01:15:00,189.95,706.4
2025-01-01 01:30:00,190.17,705.85
2025-01-01 01:45:00,190.3,706.59
2025-01-01 02:00:00,189.91,705.12
2025-01-01 02:15:00,189.9,704.24
2025-01-01 02:30:00,190.22,703.83
2025-01-01 02:45:00,190.06,703.75
2025-01-01 03:00:00,190.6,703.95
2025-01-01 03:15:00,189.82,702.93
2025-01-01 03:30:00,189.92,703.58
2025-01-01 03:45:00,189.4,703.06
2025-01-01 04:00:00,188.94,703.36
2025-01-01 04:15:00,188.49,701.79
2025-01-01 04:30:00,188.49,701.48
2025-01-01 04:45:00,189.18,703.73
2025-01-01 05:00:00,189.74,703.4
2025-01-01 05:15:00,190.22,705.36
2025-01-01 05:30:00,190.7,706.82
2025-01-01 05:45:00,190.24,707.23
2025-01-01 06:00:00,190.55,708.09
2025-01-01 06:15:00,191.23,708.75
2025-01-01 06:30:00,191.68,708.62
2025-01-01 06:45:00,191.36,707.57
2025-01-01 07:00:00,190.82,706.6
2025-01-01 07:15:00,191.41,706.9
2025-01-01 07:30:00,191.22,707.05
2025-01-01 07:45:00,190.95,706.29
2025-01-01 08:00:00,190.25,706.76
2025-01-01 08:15:00,189.69,709.43
2025-01-01 08:30:00,189.96,709.03
2025-01-01 08:45:00,190.25,710.22
2025-01-01 09:00:00,190.95,708.82
2025-01-01 09:15:00,189.95,707.26
2025-01-01 09:30:00,190.14,707.3
2025-01-01 09:45:00,190.88,708.02
2025-01-01 10:00:00,190.2,707.36
2025-01-01 10:15:00,190.54,707.11
2025-01-01 10:30:00,191.51,707.2
2025-01-01 10:45:00,191.91,708.11
2025-01-01 11:00:00,191.17,706.56
2025-01-01 11:15:00,191.1,705.5
2025-01-01 11:30:00,190.54,704.58
2025-01-01 11:45:00,190.51,704.99
2025-01-01 12:00:00,189.73,703.7
2025-01-01 12:15:00,189.85,705.3
2025-01-01 12:30:00,190.12,705.33
2025-01-01 12:45:00,190.64,705.61
2025-01-01 13:00:00,190.35,704.78
2025-01-01 13:15:00,190.76,704.62
2025-01-01 13:30:00,191.86,705.8
2025-01-01 13:45:00,191.68,706.02
2025-01-01 14:00:00,192.42,706.33
2025-01-01 14:15:00,192.37,706.6
2025-01-01 14:30:00,192.6,706.5
2025-01-01 14:45:00,193.1,707.85
2025-01-01 15:00:00,193.71,708.61
2025-01-01 15:15:00,193.77,708.14
2025-01-01 15:30:00,194.2,708.16
2025-01-01 15:45:00,194.36,708.22
2025-01-01 16:00:00,194.12,707.89
2025-01-01 16:15:00,195.07,707.83
2025-01-01 16:30:00,194.33,707.15
2025-01-01 16:45:00,194.69,707.96
2025-01-01 17:00:00,193.97,708.49
2025-01-01 17:15:00,194.11,707.49
2025-01-01 17:30:00,194.82,707.37
2025-01-01 17:45:00,194.53,707.58
2025-01-01 18:00:00,194.59,708.39
2025-01-01 18:15:00,194.24,707.36
2025-01-01 18:30:00,194.24,708.18
2025-01-01 18:45:00,194.28,707.84
2025-01-01 19:00:00,194.0,705.68
2025-01-01 19:15:00,195.17,701.7
2025-01-01 19:30:00,196.31,703.57
2025-01-01 19:45:00,196.25,702.09
2025-01-01 20:00:00,197.83,702.47
2025-01-01 20:15:00,197.03,702.56
2025-01-01 20:30:00,197.56,702.76
2025-01-01 20:45:00,197.71,701.53
2025-01-01 21:00:00,198.11,701.52
2025-01-01 21:15:00,198.7,700.68
2025-01-01 21:30:00,198.74,699.7
2025-01-01 21:45:00,199.41,702.11
2025-01-01 22:00:00,198.43,702.1
2025-01-01 22:15:00,198.65,703.46
2025-01-01 22:30:00,197.89,702.89
2025-01-01 22:45:00,198.54,702.17
