datetime,SOL_USD_Binance,ADA_USD_Binance
2025-01-01 00:00:00,190.11,0.8533
2025-01-01 00:15:00,190.43,0.8565
2025-01-01 00:30:00,190.38,0.8574
2025-01-01 00:45:00,190.15,0.8561
2025-01-01 01:00:00,189.64,0.8553
2025-01-01 01:15:00,189.95,0.8571
2025-01-01 01:30:00,190.17,0.8552
2025-01-01 01:45:00,190.3,0.8574
2025-01-01 02:00:00,189.91,0.8583
2025-01-01 02:15:00,189.9,0.858
2025-01-01 02:30:00,190.22,0.8551
2025-01-01 02:45:00,190.06,0.8518
2025-01-01 03:00:00,190.6,0.8531
2025-01-01 03:15:00,189.82,0.85
2025-01-01 03:30:00,189.92,0.8492
2025-01-01 03:45:00,189.4,0.8467
2025-01-01 04:00:00,188.94,0.8456
2025-01-01 04:15:00,188.49,0.8424
2025-01-01 04:30:00,188.49,0.8426
2025-01-01 04:45:00,189.18,0.8462
2025-01-01 05:00:00,189.74,0.8466
2025-01-01 05:15:00,190.22,0.8455
2025-01-01 05:30:00,190.7,0.8467
2025-01-01 05:45:00,190.24,0.8441
2025-01-01 06:00:00,190.55,0.8439
2025-01-01 06:15:00,191.23,0.8498
2025-01-01 06:30:00,191.68,0.8538
2025-01-01 06:45:00,191.36,0.8532
2025-01-01 07:00:00,190.82,0.8553
2025-01-01 07:15:00,191.41,0.8613
2025-01-01 07:30:00,191.22,0.8638
2025-01-01 07:45:00,190.95,0.8657
2025-01-01 08:00:00,190.25,0.8671
2025-01-01 08:15:00,189.69,0.8644
2025-01-01 08:30:00,189.96,0.8633
2025-01-01 08:45:00,190.25,0.8649
2025-01-01 09:00:00,190.95,0.8671
2025-01-01 09:15:00,189.95,0.8635
2025-01-01 09:30:00,190.14,0.862
2025-01-01 09:45:00,190.88,0.8648
2025-01-01 10:00:00,190.2,0.8629
2025-01-01 10:15:00,190.54,0.8662
2025-01-01 10:30:00,191.51,0.8701
2025-01-01 10:45:00,191.91,0.877
2025-01-01 11:00:00,191.17,0.8893
2025-01-01 11:15:00,191.1,0.8909
2025-01-01 11:30:00,190.54,0.8803
2025-01-01 11:45:00,190.51,0.8893
2025-01-01 12:00:00,189.73,0.881
2025-01-01 12:15:00,189.85,0.8818
2025-01-01 12:30:00,190.12,0.8868
2025-01-01 12:45:00,190.64,0.8887
2025-01-01 13:00:00,190.35,0.8851
2025-01-01 13:15:00,190.76,0.8926
2025-01-01 13:30:00,191.86,0.906
2025-01-01 13:45:00,191.68,0.9218
2025-01-01 14:00:00,192.42,0.9269
2025-01-01 14:15:00,192.37,0.9137
2025-01-01 14:30:00,192.6,0.9167
2025-01-01 14:45:00,193.1,0.9172
2025-01-01 15:00:00,193.71,0.9236
2025-01-01 15:15:00,193.77,0.9292
2025-01-01 15:30:00,194.2,0.9227
2025-01-01 15:45:00,194.36,0.9205
2025-01-01 16:00:00,194.12,0.9206
2025-01-01 16:15:00,195.07,0.9209
2025-01-01 16:30:00,194.33,0.9173
2025-01-01 16:45:00,194.69,0.919
2025-01-01 17:00:00,193.97,0.9165
2025-01-01 17:15:00,194.11,0.9148
2025-01-01 17:30:00,194.82,0.921
2025-01-01 17:45:00,194.53,0.9213
2025-01-01 18:00:00,194.59,0.9193
2025-01-01 18:15:00,194.24,0.9167
2025-01-01 18:30:00,194.24,0.9156
2025-01-01 18:45:00,194.28,0.9222
2025-01-01 19:00:00,194,0.9342
2025-01-01 19:15:00,195.17,0.9482
2025-01-01 19:30:00,196.31,0.9522
2025-01-01 19:45:00,196.25,0.9456
2025-01-01 20:00:00,197.83,0.9486
2025-01-01 20:15:00,197.03,0.9518
2025-01-01 20:30:00,197.56,0.9551
2025-01-01 20:45:00,197.71,0.9466
2025-01-01 21:00:00,198.11,0.9423
2025-01-01 21:15:00,198.7,0.9429
2025-01-01 21:30:00,198.74,0.9406
